ch,x,y,z,int
1,122,14,0,548
1,124,95,0,299
1,118,123,0,298
1,111,156,0,329
1,110,163,0,320
1,105,188,0,345
1,170,150,0,306
1,59,142,0,332
1,112,150,0,301
1,141,187,0,309
1,199,46,0,299
1,7,176,0,328
1,174,157,0,337
1,11,166,0,319
1,135,46,0,301
1,149,179,0,305
1,71,114,0,299
1,199,183,0,298
1,119,62,0,293
1,110,168,0,303
1,133,55,0,312
1,161,199,0,293
1,199,166,0,293
1,109,173,0,294
1,139,172,0,317
1,126,86,0,301
1,52,131,0,296
1,107,176,0,331
1,123,141,0,340
1,193,196,0,293
1,175,129,0,343
1,103,62,0,297
1,142,136,0,309
1,111,199,0,309
1,119,194,0,309
1,163,177,0,307
1,65,172,0,296
1,134,140,0,309
1,54,18,0,316
1,148,57,0,299
1,155,120,0,308
1,24,131,0,296
1,145,143,0,312
1,184,60,0,321
1,143,156,0,293
1,187,156,0,297
1,150,70,0,299
1,49,119,0,296
1,188,190,0,308
1,47,159,0,294
1,87,80,0,299
1,116,18,0,309
1,87,47,0,300
1,106,27,0,308
1,94,199,0,294
1,87,168,0,301
1,16,64,0,296
1,76,162,0,293
1,140,73,0,308
1,74,104,0,302
1,127,141,0,297
1,150,195,0,300
1,117,129,0,303
1,188,145,0,314
1,161,164,0,305
1,192,56,0,295
1,61,39,0,302
1,45,101,0,293
1,102,127,0,308
1,94,196,0,313
1,80,153,0,296
1,29,166,0,299
1,149,134,0,300
1,182,158,0,299
1,79,63,0,295
1,130,161,0,297
1,94,127,0,294
1,156,161,0,295
1,199,152,0,293
1,136,191,0,304
1,80,172,0,303
1,158,190,0,324
1,165,154,0,303
1,170,176,0,331
1,146,129,0,306
1,195,108,0,300
1,76,18,0,314
1,161,83,0,300
1,147,184,0,320
1,190,65,0,294
1,58,119,0,295
1,159,156,0,301
1,184,163,0,295
1,144,170,0,307
1,122,14,1,641
1,107,176,1,310
1,7,176,1,374
1,102,199,1,329
1,49,119,1,346
1,136,44,1,296
1,125,91,1,299
1,84,42,1,309
1,199,192,1,311
1,145,5,1,302
1,101,72,1,342
1,178,172,1,323
1,139,26,1,305
1,120,112,1,313
1,114,140,1,310
1,108,171,1,299
1,199,134,1,320
1,118,6,1,292
1,22,163,1,340
1,89,27,1,290
1,104,196,1,290
1,130,180,1,347
1,61,103,1,321
1,94,120,1,293
1,106,109,1,302
1,118,123,1,298
1,122,105,1,290
1,119,172,1,305
1,154,191,1,295
1,123,141,1,323
1,167,8,1,291
1,12,30,1,305
1,64,161,1,292
1,150,199,1,301
1,175,129,1,336
1,176,199,1,293
1,176,164,1,296
1,57,24,1,293
1,105,34,1,290
1,111,119,1,299
1,124,199,1,303
1,141,83,1,290
1,160,130,1,292
1,27,159,1,303
1,87,173,1,299
1,87,153,1,302
1,27,77,1,329
1,131,120,1,317
1,105,181,1,301
1,159,124,1,295
1,94,139,1,289
1,73,137,1,298
1,166,47,1,290
1,104,83,1,342
1,114,101,1,303
1,122,166,1,295
1,74,152,1,293
1,25,142,1,294
1,118,177,1,293
1,73,73,1,294
1,143,175,1,289
1,134,140,1,317
1,84,70,1,297
1,118,73,1,294
1,173,156,1,305
1,80,125,1,294
1,100,133,1,304
1,80,108,1,296
1,162,199,1,299
1,173,79,1,317
1,93,56,1,298
1,148,155,1,295
1,132,188,1,306
1,188,131,1,298
1,151,98,1,299
1,136,196,1,297
1,112,152,1,310
1,47,130,1,299
1,167,138,1,295
1,183,108,1,321
