gene,Hyb1,Hyb2,Hyb3,Hyb4
Slc34a2,9,1,10,4
Mbnl3,11,3,10,8
Ovol1,15,10,3,12
Kcnj2,16,15,4,3
AA986860,13,14,5,16
4932411N23Rik,5,1,11,1
Prame,8,12,15,3
Tbpl1,1,3,1,5
Clu,12,15,16,11
Brinp1,4,13,15,16
Unc80,15,1,2,2
Olfm3,7,15,6,12
Trim75,10,2,4,16
Nek10,2,8,4,14
Nxf7,5,4,1,10
Jmjd1c,9,10,11,14
Tfap2c,9,2,4,15
Tet2,4,9,13,10
Pdlim3,9,16,5,14
Lzts1,15,13,5,1
Il6ra,16,15,1,16
Akap5,16,16,15,15
Efna5,7,3,7,1
Lpp,3,12,5,4
Foxg1,15,5,15,3
Aldh1a2,14,10,7,15
Slc35e3,15,3,16,2
Nab2,10,13,3,10
Ddx58,9,8,12,13
Msn,4,2,8,14
Socs2,4,8,12,8
Pramel7,10,9,9,12
Tmtc2,10,13,14,5
Rem1,14,12,1,11
Tnfsf13,5,6,7,2
Il6st,15,4,7,10
Neto2,7,4,10,5
Vstm5,16,12,13,9
Lin28b,14,7,3,8
Lypd6,10,4,2,16
Capn6,12,5,5,6
Lonrf3,5,16,12,1
Plcl1,13,9,12,2
Ppp1r16b,2,8,1,11
Smad6,16,5,5,10
Col5a2,15,6,12,1
Coch,2,9,13,8
Stk32c,6,8,16,14
Clstn2,9,1,11,5
Tchh,2,3,7,12
Sh3rf2,1,6,13,4
Thsd7b,10,15,1,10
Bicc1,11,9,10,14
Slc44a5,4,3,14,5
Arhgap36,1,15,14,14
Col4a1,11,8,16,3
Rbms3,3,6,4,13
Zfp711,5,8,9,6
Mras,4,6,1,11
Inpp4b,4,12,14,14
Prss23,8,9,2,3
Klhl29,11,11,1,7
Lpar5,1,16,1,2
Dpep1,8,8,12,12
Kcnh5,3,16,4,7
Gtf2a1l,9,2,1,12
Rasgef1b,16,4,9,13
Prdm14,16,5,7,12
Pcdh9,14,12,5,15
Dazl,1,3,9,13
Col6a4,1,4,12,1
Antxr1,14,14,4,16
Endod1,6,5,4,15
Pecam1,8,1,1,10
Hdx,4,1,2,7
Cbfa2t2,8,4,2,14
Prkg1,12,9,10,15
Lrtm2,5,13,9,11
H1f0,4,10,10,8
Tpo,10,16,6,16
Col28a1,4,10,16,14
Ets1,4,5,11,4
Bnc2,9,14,8,15
Fos,4,7,10,5
Chst7,12,4,10,10
Cnn2,9,4,10,7
Src,2,6,13,5
Arhgef6,7,5,14,10
Msx2,13,12,11,4
4930579F01Rik,6,10,9,9
Ehmt2,9,9,4,6
Nedd9,9,11,2,6
Csmd1,9,15,14,6
Ampd3,6,2,8,16
Sh3kbp1,2,10,5,1
Kirrel,10,15,8,1
Dixdc1,4,7,1,12
Col12a1,10,14,16,8
Gpr63,13,12,6,15
Tagln,7,3,3,13
Bdnf,11,6,15,16
Cald1,15,12,6,1
Cnn1,7,13,3,7
Shroom1,13,2,12,11
Ddr2,11,7,4,6
Otx2,12,7,5,8
Zfpm2,13,7,1,5
Nrsn1,15,8,9,16
Ptger4,16,13,2,15
Thbs1,3,2,16,5
Tmem119,16,12,9,5
Lrfn1,16,1,2,3
Ros1,9,6,3,2
Mfsd12,3,10,13,10
Lmntd1,7,13,13,1
Duox2,15,16,11,10
Dnmt3a,9,9,15,1
Pclo,14,9,1,8
Usp26,1,10,13,8
Tmem132c,7,12,15,2
Olfm4,1,11,13,9
Glipr2,6,11,12,13
Sytl3,6,16,9,15
Sox8,3,1,7,11
Pcdh17,14,5,16,3
Fam186b,8,9,5,6
Nrp1,10,3,6,3
Foxp1,11,13,14,6
Sytl2,3,5,8,16
Dll1,10,9,5,8
Spock3,1,9,5,15
Cd163,11,10,5,10
Ceacam19,2,3,9,14
Mafb,11,3,2,16
Kdm4c,10,1,7,2
Zic3,3,16,6,9
Flt4,11,3,7,5
Fgf10,5,4,6,15
Prdm1,4,9,16,13
Bend4,5,15,15,3
Nfam1,8,5,14,11
Klhl6,16,10,15,9
Adh7,4,13,4,5
Vgll1,9,6,14,13
6330403K07Rik,10,8,4,6
Col4a2,7,16,12,3
4932412D23Rik,12,14,3,13
Amotl1,2,12,14,12
Ephb1,10,10,15,3
Gcnt3,4,4,14,6
Gpr75,6,6,10,6
Adamts5,1,10,1,12
Glis1,13,11,16,8
Limch1,9,11,4,8
Hdc,15,5,6,10
Dhh,12,3,5,4
T,7,13,5,9
Cdo1,4,3,15,6
Klf13,13,6,2,5
Nxf2,5,12,5,6
Trim47,6,7,14,11
Krt79,16,6,15,5
Atp2b2,3,12,4,3
Shld2,3,7,10,4
Fam171b,11,1,7,3
Scn2b,14,1,11,10
Aspm,7,12,6,9
Dpysl2,16,9,16,9
Myof,14,15,7,4
Sox3,16,7,1,8
Cntnap3,3,14,10,11
