geneID,x,y,z,intensity,seeds
abcc1,1591.47533333333,1351.59966666667,2,754,3
acvr2b,1664.57525,1307.77575,0,1012.5,4
adcy9,1618.135,1276.87833333333,1,1125,3
agap2,1578.6145,1302.8885,0.5,1472.25,4
agap2,1595.8645,1327.8885,4.25,830.75,4
atp2b1,1587.80433333333,1310.868,0.333333333333333,945,3
atp2b1,1626.987,1281.72533333333,5,681.666666666667,3
atp2b1,1612.60325,1356.151,5.75,1038.25,4
atp2b1,1572.35325,1350.151,4.25,805,4
atp2b1,1611.407,1314.518,6,687.333333333333,3
atp2b1,1586.21466666667,1365.15933333333,4.33333333333333,900,3
atp2b1,1589.471,1352.53466666667,0.333333333333333,1264.66666666667,3
atp2b1,1602.10325,1297.151,5,983.5,4
atp2b1,1591.10325,1324.401,0,1361.5,4
atp2b1,1587.85325,1357.901,2,1472.25,4
atp2b1,1618.60325,1355.151,5,1062.5,4
atp2b4,1650.04533333333,1317.53333333333,0,884,3
avpr1a,1641.03066666667,1356.83833333333,6,860.333333333333,3
axin1,1627.28766666667,1276.788,0.666666666666667,1092.33333333333,3
bad,1580.271,1292.84633333333,4,1014,3
bdnf,1578.656,1328.01966666667,4.66666666666667,820.666666666667,3
bdnf,1662.595,1336.37475,4.5,1103.25,4
btc,1657.95233333333,1311.13066666667,5,1006,3
btk,1579.21566666667,1338.517,0,933.666666666667,3
cab39,1598.005,1332.934,4.66666666666667,697,3
cab39,1612.60366666667,1274.00533333333,4,751,3
cab39,1633.262,1308.49466666667,6,826,3
cab39,1604.3025,1328.4065,3,1146.25,4
cacna1a,1639.28866666667,1329.72,4,688.333333333333,3
cacna2d1,1659.09166666667,1311.05433333333,3.66666666666667,877.666666666667,3
cacna2d1,1589.18175,1317.14775,0,1399.75,4
cacna2d3,1653.27766666667,1359.158,5,1012.66666666667,3
camk2a,1652.38866666667,1352.34633333333,0,1407.66666666667,3
camk2a,1610.10066666667,1278.12783333333,6,1060.66666666667,6
camk2a,1587.16175,1360.0395,2.25,1100.5,4
camk2a,1586.91175,1316.2895,0,1014,4
camk2a,1658.41175,1316.0395,0,1462.25,4
camk2a,1610.66175,1325.7895,5.5,1247.75,4
camk2a,1594.057,1290.556,3,895,3
camk2a,1647.66175,1329.0395,6,1577.5,4
camk2a,1597.91175,1281.2895,5.75,1312.25,4
camk2a,1586.16175,1339.5395,2.75,1581.75,4
camk2a,1626.16175,1317.5395,4.5,1596.75,4
camk2a,1575.16175,1307.0395,0,2154.25,4
camk2a,1629.057,1284.22266666667,2,1434,3
camk2a,1645.91175,1346.5395,0,905.5,4
camk2a,1583.30166666667,1324.34666666667,6,980.666666666667,3
camk2a,1659.41175,1342.0395,4.75,1041.5,4
camk2a,1596.72366666667,1329.22266666667,0,1322,3
camk2a,1619.635,1298.34666666667,0.666666666666667,1062.66666666667,3
camk2a,1663.41175,1352.0395,0,950,4
camk2a,1630.66175,1311.2895,4.75,1128.5,4
camk2a,1609.96833333333,1301.01333333333,4,885.666666666667,3
camk2a,1653.91175,1334.5395,6,1309.5,4
camk2a,1652.66175,1327.0395,5.75,1614.5,4
camk2a,1591.66175,1296.5395,0,1270.25,4
camk2a,1601.635,1339.68,1,1139,3
camk2a,1576.91175,1309.7895,6,881,4
camk2a,1580.41175,1303.5395,0.75,1099.75,4
camk2a,1644.16175,1333.2895,2.75,1287.25,4
camk2a,1662.722,1350.34633333333,5.33333333333333,1171.33333333333,3
camk2a,1603.722,1335.34633333333,3,1251.33333333333,3
camkk1,1632.879,1285.1585,6,1076.25,4
camkk1,1576.04466666667,1352.88133333333,0,1437,3
camkk1,1652.379,1334.4085,0,883,4
camkk1,1609.44066666667,1303.24366666667,0,888.666666666667,3
camkk1,1591.34266666667,1326.107,3,1211.66666666667,3
camkk2,1646.807,1313.28666666667,6,714,3
cdc37,1587.913,1363.702,0.666666666666667,743.333333333333,3
cdc37,1604.08066666667,1338.17533333333,3,711.666666666667,3
cdk4,1651.95766666667,1343.95333333333,0.333333333333333,781.333333333333,3
cds1,1636.78166666667,1279.99166666667,5.66666666666667,1061.33333333333,3
cds1,1603.637,1365.57375,0.75,1330.75,4
cds2,1633.18933333333,1360.46733333333,5,733,3
chuk,1626.61333333333,1292.556,3.66666666666667,870.666666666667,3
chuk,1648.16025,1350.42125,1,959,4
col11a1,1590.351,1338.382,1.66666666666667,765.333333333333,3
col24a1,1588.69066666667,1317.857,0,1310,3
col5a1,1605.215,1330.42733333333,6,648,3
crk,1599.11266666667,1282.60466666667,4,834.666666666667,3
crtc2,1631.905,1360.43533333333,0,894.333333333333,3
csf3r,1667.44733333333,1299.62966666667,4.33333333333333,830.333333333333,3
csnk1e,1572.35066666667,1345.69,3,1155.66666666667,3
cul1,1576.8575,1308.98075,0,1280.5,4
cul1,1650.82133333333,1335.817,0,787.666666666667,3
degs2,1588.20833333333,1317.962,0.666666666666667,1151,3
dgkb,1614.282,1276.40033333333,0,1643.33333333333,3
dlg3,1632.96133333333,1288.15066666667,4,996,3
dlg3,1637.093,1310.19125,5.5,1347.75,4
dlg3,1609.093,1339.44125,5.75,1407,4
dlg5,1646.18633333333,1287.30666666667,5,715.333333333333,3
dusp8,1614.47066666667,1345.837,0,994,3
dusp8,1660.804,1346.17033333333,4.33333333333333,877,3
ecsit,1599.9295,1287.8365,0,999.5,4
efna2,1593.60533333333,1339.64733333333,6,746.333333333333,3
egln2,1572.27233333333,1345.91166666667,0,917,3
egln2,1610.27233333333,1304.57833333333,3,854,3
eif4e,1578.182,1331.52175,6,870.75,4
eif4e,1594.682,1290.77175,6,944.5,4
eif4e,1580.182,1329.77175,0,1369.75,4
eif4e2,1576.31225,1341.15175,0.25,1224.75,4
eif4e2,1595.275,1322.155,4,824.666666666667,3
eno2,1630.26266666667,1285.619,0.333333333333333,1739.33333333333,3
eno2,1638.26266666667,1308.619,0,1329.66666666667,3
eno2,1665.0785,1314.38025,0,1308,4
eno2,1588.5785,1325.88025,4,854.5,4
eno2,1652.92933333333,1318.619,3.66666666666667,996.666666666667,3
eno2,1577.5785,1308.63025,4,792.75,4
epor,1663.78866666667,1337.75233333333,4,1035.66666666667,3
epor,1574.92366666667,1337.239,4,848,3
epor,1644.92366666667,1356.90566666667,2,1039.66666666667,3
erc1,1654.64825,1350.1855,6,830.25,4
ereg,1589.333,1359.91333333333,0,1023.33333333333,3
farp2,1630.123,1282.49366666667,0,949,3
fbxw11,1635.815,1342.165,0,860.666666666667,3
fbxw11,1589.05175,1302.14725,4,899.75,4
fbxw11,1659.13533333333,1307.19066666667,0.333333333333333,715,3
fbxw11,1659.48166666667,1330.165,2.66666666666667,1063.33333333333,3
fgf14,1599.083,1329.58025,0,1234.5,4
fgf14,1637.40666666667,1327.99733333333,2,828.666666666667,3
fgfr2,1575.943,1302.29533333333,5.66666666666667,760,3
foxo1,1657.05925,1320.66775,2,1104.25,4
foxo1,1577.05925,1339.91775,3,845.5,4
fyn,1591.427,1301.52633333333,6,779,3
fyn,1645.62233333333,1310.08133333333,3,1142.66666666667,3
fyn,1655.09825,1357.227,5,985,4
gab1,1597.56066666667,1359.094,1.66666666666667,684.333333333333,3
gab1,1582.30233333333,1334.04,2.33333333333333,1116.33333333333,3
gadd45g,1604.61833333333,1334.65166666667,4,928,3
ghr,1670.30025,1304.79025,0,1656.25,4
ghsr,1630.57566666667,1315.18233333333,2.33333333333333,910,3
gnai1,1580.42733333333,1331.24766666667,0,1012.66666666667,3
gnai1,1634.202,1365.85175,6,962.5,4
gnai3,1611.20266666667,1303.854,0,799,3
gnaq,1633.29025,1315.79725,6,1501,4
gnaq,1577.29025,1320.54725,3,1393.25,4
gnaq,1598.79025,1354.29725,1,1610,4
gnaq,1616.79733333333,1280.021,3,861.666666666667,3
gnaq,1656.79025,1313.79725,0,1217,4
gnaq,1599.545,1316.50833333333,4.66666666666667,931.333333333333,3
gnaq,1582.54025,1349.54725,4,1104.25,4
gnaq,1630.464,1310.021,2.33333333333333,861.333333333333,3
gnaq,1633.21166666667,1307.50833333333,5,1129.33333333333,3
gng12,1641.58033333333,1313.95266666667,3.66666666666667,757.666666666667,3
gng2,1625.479,1276.42433333333,0,781.666666666667,3
gng2,1574.15366666667,1323.38266666667,5.66666666666667,967.333333333333,3
gng2,1611.299,1318.59233333333,6,939,3
gng2,1640.299,1281.59233333333,0,1435,3
gng4,1657.02133333333,1333.04666666667,4,769.666666666667,3
