hyb,ch,x,y,z,int
0,1,1372.0,505.0,0.0,1132
0,1,1396.0,497.0,4.0,1139
0,1,1403.0,485.0,1.0,1175
0,1,1378.0,462.0,0.0,1031
0,1,1387.0,468.0,3.0,897
0,1,1408.0,473.0,3.0,928
0,1,1342.0,460.0,0.0,757
0,1,1402.0,473.0,2.0,803
0,1,1298.0,480.0,2.0,795
0,1,1348.0,455.0,6.0,719
0,1,1422.0,487.0,2.0,721
0,1,1379.0,479.0,0.0,729
0,1,1345.0,448.0,0.0,698
0,1,1422.0,485.0,0.0,654
0,1,1349.0,469.0,4.0,556
0,1,1345.0,465.0,3.0,602
0,1,1367.0,450.0,4.0,626
0,1,1365.0,461.0,3.0,560
0,1,1330.0,442.0,4.0,602
0,1,1407.0,496.0,4.0,619
0,1,1353.0,441.0,5.0,650
0,1,1316.0,479.0,2.0,651
0,1,1408.0,479.0,0.0,574
0,1,1347.0,451.0,0.0,619
0,1,1350.0,440.0,2.0,618
0,1,1409.0,470.0,1.0,571
0,1,1406.0,498.0,6.0,563
0,1,1290.0,464.0,4.0,561
1,1,1296.8,473.024,0.0,546
1,1,1401.8,496.024,6.0,535
1,1,1347.8,457.024,3.0,540
1,1,1381.8,481.024,1.0,545
1,1,1417.8,490.024,0.0,525
1,1,1417.8,490.024,2.0,527
1,1,1414.8,456.024,1.0,529
2,1,1359.187,482.328,0.0,988
2,1,1323.187,483.328,6.0,1027
2,1,1295.187,442.328,3.0,956
2,1,1322.187,433.328,5.0,1139
2,1,1412.187,470.328,4.0,920
2,1,1289.187,452.328,1.0,997
2,1,1350.187,501.328,0.0,887
2,1,1397.187,513.328,0.0,748
2,1,1389.187,507.328,3.0,734
2,1,1302.187,460.328,6.0,803
2,1,1342.187,484.328,1.0,784
2,1,1285.187,452.328,1.0,820
2,1,1298.187,439.328,0.0,730
2,1,1303.187,453.328,1.0,687
2,1,1399.187,455.328,0.0,712
2,1,1393.187,479.328,0.0,730
2,1,1298.187,434.328,1.0,749
2,1,1406.187,485.328,0.0,648
2,1,1290.187,448.328,1.0,751
2,1,1394.187,425.328,5.0,644
2,1,1346.187,468.328,0.0,637
2,1,1352.187,446.328,2.0,637
2,1,1401.187,517.328,0.0,614
2,1,1330.187,477.328,4.0,617
2,1,1315.187,467.328,3.0,662
2,1,1407.187,464.328,2.0,597
2,1,1311.187,449.328,4.0,577
2,1,1375.187,503.328,0.0,621
2,1,1402.187,484.328,4.0,610
2,1,1371.187,495.328,6.0,535
2,1,1402.187,468.328,0.0,543
2,1,1287.187,458.328,2.0,553
2,1,1361.187,469.328,2.0,587
2,1,1398.187,484.328,4.0,558
2,1,1296.187,481.328,2.0,553
2,1,1406.187,490.328,2.0,574
2,1,1310.187,482.328,4.0,557
2,1,1399.187,497.328,0.0,521
2,1,1402.187,515.328,3.0,573
2,1,1323.187,435.328,2.0,616
2,1,1299.187,445.328,2.0,589
2,1,1409.187,457.328,2.0,561
2,1,1343.187,438.328,6.0,535
2,1,1399.187,479.328,0.0,522
2,1,1397.187,518.328,1.0,570
2,1,1370.187,465.328,3.0,560
2,1,1376.187,488.328,0.0,553
2,1,1352.187,485.328,0.0,526
2,1,1329.187,440.328,0.0,562
2,1,1393.187,437.328,5.0,563
2,1,1418.187,490.328,4.0,629
2,1,1347.187,443.328,4.0,536
2,1,1290.187,465.328,1.0,589
2,1,1290.187,465.328,5.0,563
2,1,1382.187,481.328,0.0,550
2,1,1382.187,481.328,4.0,521
3,1,1396.183,456.896,1.0,1013
3,1,1370.183,459.896,1.0,762
3,1,1371.183,470.896,0.0,636
3,1,1363.183,434.896,2.0,646
3,1,1287.183,451.896,0.0,547
3,1,1375.183,459.896,3.0,575
3,1,1332.183,439.896,3.0,610
3,1,1367.183,443.896,4.0,531
3,1,1346.183,472.896,0.0,532
3,1,1324.183,433.896,4.0,521
3,1,1382.183,481.896,1.0,538
3,1,1290.183,465.896,3.0,545
3,1,1382.183,481.896,6.0,521
3,1,1406.183,457.896,0.0,548
3,1,1415.183,456.896,6.0,528
4,1,1365.898,490.017,1.0,780
4,1,1376.898,460.017,6.0,664
4,1,1365.898,494.017,6.0,679
4,1,1399.898,479.017,2.0,741
4,1,1341.898,465.017,6.0,581
4,1,1380.898,486.017,6.0,548
4,1,1399.898,510.017,0.0,675
4,1,1343.898,458.017,5.0,628
4,1,1304.898,469.017,6.0,596
4,1,1357.898,467.017,2.0,589
4,1,1336.898,479.017,6.0,541
4,1,1385.898,477.017,1.0,580
4,1,1399.898,487.017,2.0,604
4,1,1405.898,458.017,2.0,704
4,1,1336.898,489.017,2.0,574
4,1,1414.898,457.017,2.0,685
4,1,1335.898,495.017,2.0,568
4,1,1363.898,468.017,6.0,503
4,1,1289.898,466.017,2.0,644
4,1,1320.898,479.017,2.0,541
4,1,1403.898,432.017,2.0,523
4,1,1310.898,471.017,3.0,546
4,1,1381.898,482.017,2.0,634
4,1,1301.898,444.017,2.0,554
4,1,1351.898,480.017,2.0,588
4,1,1325.898,475.017,2.0,547
4,1,1379.898,492.017,2.0,568
4,1,1304.898,466.017,2.0,616
4,1,1281.898,438.017,2.0,528
4,1,1375.898,443.017,2.0,537
4,1,1288.898,478.017,2.0,502
4,1,1305.898,452.017,2.0,518
4,1,1342.898,450.017,2.0,513
4,1,1346.898,487.017,5.0,505
4,1,1304.898,466.017,0.0,609
4,1,1308.898,479.017,2.0,552
4,1,1349.898,469.017,2.0,517
4,1,1409.898,446.017,2.0,544
4,1,1284.898,446.017,2.0,529
4,1,1392.898,467.017,2.0,473
4,1,1410.898,440.017,2.0,511
4,1,1417.898,491.017,2.0,570
4,1,1405.898,490.017,2.0,525
4,1,1366.898,478.017,2.0,504
4,1,1338.898,444.017,2.0,499
4,1,1388.898,515.0169999999998,3.0,502
4,1,1384.898,440.017,2.0,503
4,1,1362.898,459.017,2.0,580
4,1,1304.898,479.017,2.0,573
4,1,1408.898,425.017,2.0,487
4,1,1403.898,500.017,4.0,487
4,1,1397.898,449.017,2.0,499
4,1,1395.898,496.017,2.0,503
4,1,1403.898,450.017,2.0,551
4,1,1363.898,507.017,2.0,475
4,1,1386.898,430.017,2.0,524
4,1,1391.898,506.017,2.0,525
4,1,1317.898,462.017,2.0,518
4,1,1289.898,457.017,2.0,521
4,1,1331.898,437.017,2.0,491
4,1,1281.898,450.017,2.0,564
4,1,1336.898,439.017,2.0,568
4,1,1394.898,509.017,2.0,496
4,1,1391.898,475.017,0.0,514
4,1,1323.898,451.017,2.0,558
4,1,1386.898,519.0169999999998,2.0,485
4,1,1353.898,502.017,2.0,529
4,1,1361.898,489.017,2.0,513
4,1,1380.898,486.017,2.0,570
4,1,1286.898,458.017,2.0,500
4,1,1393.898,484.017,2.0,497
4,1,1414.898,497.017,2.0,478
4,1,1369.898,475.017,2.0,498
4,1,1380.898,436.017,2.0,487
4,1,1304.898,473.017,2.0,577
4,1,1359.898,499.017,2.0,478
4,1,1374.898,452.017,0.0,472
4,1,1351.898,465.017,2.0,512
4,1,1314.898,452.017,2.0,488
4,1,1303.898,459.017,2.0,478
4,1,1419.898,485.017,2.0,467
4,1,1400.898,494.017,2.0,537
4,1,1356.898,500.017,2.0,468
4,1,1371.898,469.017,2.0,481
4,1,1399.898,443.017,2.0,512
4,1,1411.898,435.017,2.0,504
4,1,1285.898,470.017,2.0,518
4,1,1292.898,470.017,2.0,472
4,1,1313.898,474.017,2.0,498
4,1,1318.898,452.017,2.0,481
4,1,1392.898,431.017,2.0,517
4,1,1343.898,475.017,2.0,501
4,1,1397.898,491.017,2.0,484
4,1,1350.898,500.017,2.0,468
4,1,1398.898,471.017,2.0,469
4,1,1333.898,440.017,2.0,526
4,1,1342.898,446.017,2.0,549
4,1,1289.898,466.017,5.0,553
4,1,1362.898,486.017,2.0,494
4,1,1412.898,426.017,2.0,474
4,1,1305.898,470.017,2.0,484
4,1,1285.898,454.017,2.0,487
4,1,1389.898,481.017,2.0,504
4,1,1414.898,474.017,2.0,479
4,1,1333.898,486.017,2.0,502
4,1,1384.898,499.017,2.0,509
4,1,1376.898,497.017,2.0,494
4,1,1387.898,484.017,2.0,543
4,1,1408.898,443.017,2.0,489
4,1,1359.898,493.017,2.0,491
4,1,1406.898,448.017,2.0,474
4,1,1323.898,434.017,2.0,508
4,1,1293.898,433.017,2.0,501
4,1,1344.898,482.017,2.0,496
4,1,1380.898,497.017,2.0,496
4,1,1347.898,500.017,2.0,467
4,1,1373.898,462.017,2.0,475
4,1,1315.898,454.017,2.0,481
4,1,1292.898,461.017,2.0,466
4,1,1329.898,488.017,2.0,479
4,1,1385.898,483.017,2.0,485
4,1,1328.898,444.017,2.0,492
4,1,1412.898,485.017,2.0,472
4,1,1414.898,465.017,2.0,497
4,1,1377.898,451.017,2.0,493
4,1,1390.898,438.017,2.0,476
4,1,1391.898,444.017,5.0,481
4,1,1334.898,444.017,2.0,480
4,1,1313.898,435.017,2.0,468
4,1,1384.898,490.017,2.0,502
4,1,1402.898,453.017,2.0,489
4,1,1389.898,486.017,2.0,469
4,1,1284.898,451.017,2.0,485
4,1,1400.898,512.0169999999998,2.0,529
4,1,1392.898,461.017,2.0,473
4,1,1371.898,444.017,2.0,475
4,1,1386.898,487.017,2.0,479
4,1,1300.898,460.017,2.0,477
4,1,1381.898,482.017,6.0,532
4,1,1397.898,474.017,2.0,469
4,1,1398.898,504.017,2.0,470
4,1,1395.898,475.017,2.0,478
4,1,1417.898,491.017,6.0,470
4,1,1415.898,479.017,2.0,487
4,1,1307.898,474.017,2.0,507
4,1,1391.898,496.017,2.0,501
4,1,1394.898,487.017,2.0,494
4,1,1321.898,476.017,2.0,467
4,1,1340.898,464.017,2.0,469
4,1,1398.898,502.017,2.0,469
5,1,1394.4720000000002,486.125,5.0,1359
5,1,1397.4720000000002,483.125,0.0,1113
5,1,1345.4720000000002,470.125,4.0,1108
5,1,1331.4720000000002,489.125,2.0,1042
5,1,1327.4720000000002,486.125,6.0,1047
5,1,1392.4720000000002,489.125,0.0,1030
5,1,1342.4720000000002,451.125,1.0,924
5,1,1354.4720000000002,475.125,1.0,913
5,1,1381.4720000000002,485.125,0.0,928
5,1,1345.4720000000002,462.125,6.0,871
5,1,1400.4720000000002,497.125,6.0,834
