ch,x,y,z,int
1,1564.0,1715.0,1.0,53396
1,917.0,981.0,1.0,51421
1,1429.0,1519.0,1.0,46873
1,1419.0,1254.0,0.0,44606
1,878.0,928.0,0.0,42213
1,948.0,777.0,0.0,37321
1,624.0,613.0,1.0,30435
1,987.0,992.0,0.0,33653
1,336.0,1852.0,1.0,31357
1,1657.0,1572.0,0.0,29658
1,969.0,1346.0,1.0,30437
1,1867.0,1185.0,0.0,27135
1,1506.0,1488.0,1.0,28411
1,1067.0,1606.0,0.0,27901
1,1216.0,2040.0,1.0,26353
1,1609.0,1046.0,1.0,26424
1,1637.0,1887.0,1.0,25316
1,1228.0,1508.0,1.0,24780
1,1560.0,103.0,1.0,23813
1,1401.0,942.0,0.0,24894
1,639.0,459.0,1.0,23166
1,1688.0,1409.0,0.0,26126
1,1795.0,473.0,0.0,23823
1,330.0,1239.0,1.0,24347
1,724.0,768.0,1.0,24439
1,835.0,44.0,1.0,21474
1,2012.0,1673.0,1.0,20678
1,612.0,1265.0,1.0,19561
1,1013.0,536.0,0.0,22183
1,228.0,1855.0,1.0,20792
1,2009.0,1602.0,1.0,19223
1,1187.0,1346.0,0.0,21901
1,930.0,1068.0,1.0,20636
1,485.0,976.0,1.0,20321
1,2016.0,1971.0,1.0,18624
1,1108.0,1541.0,1.0,20720
1,1834.0,570.0,0.0,19281
1,2014.0,1353.0,1.0,18459
1,1816.0,1612.0,0.0,19458
1,415.0,577.0,1.0,18845
1,1623.0,918.0,0.0,21717
1,1117.0,247.0,0.0,18587
1,515.0,424.0,1.0,18523
1,1471.0,1513.0,1.0,18765
1,1676.0,1030.0,1.0,18887
1,631.0,976.0,0.0,18622
1,1763.0,712.0,0.0,18602
2,1176.0,1336.0,1.0,36885
2,1419.0,1254.0,0.0,37153
2,1563.0,1715.0,1.0,32875
2,987.0,992.0,1.0,35050
2,948.0,777.0,1.0,31423
2,1429.0,1519.0,1.0,31647
2,1868.0,1185.0,1.0,27409
2,1688.0,1409.0,1.0,27563
2,1657.0,1572.0,1.0,27973
2,1401.0,941.0,1.0,26119
2,1067.0,1606.0,1.0,23560
2,1795.0,472.0,1.0,23151
2,916.0,980.0,1.0,17397
2,612.0,1264.0,1.0,19615
2,1187.0,1346.0,1.0,19054
2,1763.0,711.0,1.0,19687
2,1834.0,570.0,1.0,20091
2,1636.0,1887.0,1.0,18632
2,1505.0,1487.0,1.0,17463
2,638.0,459.0,1.0,20099
2,968.0,1346.0,1.0,17809
2,1116.0,1302.0,1.0,19197
2,1744.0,1191.0,1.0,16692
2,534.0,970.0,1.0,19371
2,623.0,612.0,1.0,14459
2,1623.0,917.0,1.0,16221
2,2012.0,1673.0,1.0,15979
2,1918.0,466.0,1.0,16884
2,1872.0,542.0,1.0,15435
2,515.0,423.0,1.0,16885
2,719.0,624.0,1.0,17495
2,1168.0,1527.0,1.0,16367
2,567.0,1594.0,1.0,16424
2,1813.0,430.0,1.0,16000
2,335.0,1851.0,1.0,13476
2,1228.0,1328.0,1.0,14681
2,329.0,1239.0,1.0,14432
2,1559.0,102.0,1.0,12773
2,1216.0,2040.0,1.0,14708
2,584.0,787.0,1.0,14902
2,1634.0,1310.0,0.0,13696
2,1609.0,1046.0,1.0,15241
2,1092.0,1414.0,1.0,14369
2,630.0,975.0,1.0,15548
2,2013.0,523.0,1.0,13969
2,2014.0,1353.0,1.0,13698
2,877.0,856.0,1.0,14460
2,1881.0,1723.0,1.0,13374
2,1116.0,246.0,1.0,14217
2,1673.0,1693.0,1.0,14412
2,1933.0,1691.0,1.0,13454
2,565.0,566.0,1.0,14429
2,749.0,546.0,1.0,14552
2,1912.0,1738.0,1.0,11842
2,1017.0,1616.0,1.0,14988
2,723.0,768.0,1.0,12942
2,827.0,100.0,1.0,13652
2,1013.0,536.0,1.0,12923
2,1651.0,619.0,1.0,13604
2,440.0,1059.0,1.0,13198
2,1021.0,1646.0,1.0,12156
2,1107.0,1541.0,1.0,12626
2,1441.0,35.0,1.0,12865
2,1608.0,1638.0,1.0,13061
2,667.0,323.0,1.0,12582
2,1228.0,1507.0,1.0,11630
2,2017.0,1902.0,1.0,10980
2,1816.0,1611.0,1.0,10814
2,295.0,1462.0,1.0,12187
2,466.0,550.0,1.0,11997
2,534.0,40.0,1.0,11214
2,541.0,915.0,1.0,12383
2,708.0,1603.0,1.0,12037
2,559.0,477.0,1.0,12086
2,1963.0,1773.0,1.0,10810
2,395.0,1100.0,1.0,11370
2,1534.0,1306.0,1.0,10906
2,1918.0,1056.0,1.0,10847
2,1744.0,757.0,1.0,11540
2,1761.0,687.0,1.0,11016
2,495.0,397.0,1.0,11101
2,510.0,1586.0,1.0,10666
2,100.0,1404.0,1.0,9007
2,1754.0,860.0,1.0,10080
2,484.0,976.0,1.0,9764
2,227.0,1855.0,1.0,8383
2,379.0,1221.0,1.0,10399
2,475.0,1873.0,1.0,9889
2,172.0,515.0,1.0,9655
2,452.0,476.0,1.0,9901
2,663.0,274.0,1.0,9054
2,1993.0,1895.0,1.0,9238
2,488.0,1605.0,1.0,9617
2,586.0,532.0,1.0,9667
2,556.0,415.0,1.0,9738
2,414.0,577.0,1.0,9614
2,1101.0,399.0,1.0,9791
2,1794.0,831.0,1.0,8331
2,602.0,318.0,1.0,8912
2,752.0,470.0,1.0,9549
2,2039.0,1816.0,1.0,8094
2,930.0,1068.0,1.0,9098
2,514.0,1415.0,1.0,9215
2,1960.0,439.0,1.0,9027
2,648.0,374.0,1.0,8842
2,1768.0,20.0,1.0,8093
2,1699.0,1326.0,1.0,8888
2,1973.0,1881.0,1.0,8265
2,2025.0,1833.0,1.0,7741
2,2037.0,519.0,1.0,8233
2,1653.0,1768.0,1.0,8250
2,131.0,1352.0,1.0,7917
2,1070.0,691.0,1.0,8460
2,756.0,828.0,1.0,8685
2,675.0,288.0,1.0,7754
3,638.0,459.0,1.0,62831
3,565.0,566.0,1.0,60529
3,1116.0,246.0,1.0,54605
3,1228.0,1508.0,1.0,63362
3,1872.0,541.0,1.0,53914
3,567.0,1594.0,1.0,55618
3,2013.0,1673.0,1.0,49617
3,2009.0,1602.0,1.0,53756
3,1651.0,619.0,1.0,55599
3,878.0,1028.0,1.0,60879
3,1919.0,465.0,0.0,55566
3,1401.0,941.0,0.0,59039
3,1817.0,1612.0,0.0,58766
3,514.0,423.0,1.0,57814
3,1654.0,1769.0,1.0,63100
3,1107.0,1541.0,1.0,54478
3,1933.0,1691.0,1.0,53165
3,998.0,281.0,0.0,58252
3,1813.0,430.0,0.0,54431
3,2013.0,522.0,1.0,45001
3,534.0,970.0,1.0,60326
3,1994.0,1896.0,1.0,61496
3,171.0,514.0,1.0,61645
3,708.0,1603.0,1.0,54508
3,1441.0,35.0,1.0,49996
3,1471.0,1513.0,1.0,59770
3,1754.0,860.0,1.0,58868
3,1017.0,1616.0,0.0,55009
3,474.0,1874.0,1.0,59330
3,1795.0,472.0,0.0,45980
3,1763.0,711.0,0.0,57770
3,2018.0,1903.0,1.0,54985
3,466.0,550.0,1.0,56461
3,601.0,318.0,1.0,45394
3,414.0,576.0,1.0,51471
3,1963.0,1773.0,1.0,46162
3,827.0,100.0,1.0,55280
3,834.0,42.0,1.0,38767
3,1697.0,1503.0,1.0,51965
3,227.0,1855.0,1.0,51147
3,508.0,1772.0,1.0,53876
3,1608.0,1639.0,0.0,44357
3,841.0,1012.0,1.0,49880
3,2016.0,1972.0,1.0,45879
3,439.0,1059.0,1.0,46189
3,1021.0,1647.0,0.0,47186
3,886.0,184.0,1.0,53611
3,630.0,975.0,0.0,50554
3,584.0,787.0,0.0,47471
3,2026.0,1834.0,1.0,50907
3,1744.0,757.0,0.0,39914
3,131.0,1352.0,1.0,55271
3,109.0,786.0,1.0,54565
3,558.0,477.0,1.0,41373
3,1070.0,691.0,1.0,56720
3,488.0,1605.0,1.0,50246
3,1960.0,439.0,0.0,39502
3,719.0,624.0,0.0,47176
3,541.0,915.0,0.0,44944
3,700.0,133.0,1.0,44380
3,749.0,546.0,0.0,47890
3,164.0,1612.0,1.0,47653
3,294.0,1463.0,1.0,50175
3,534.0,1783.0,1.0,52290
3,1522.0,1743.0,1.0,51799
3,404.0,1391.0,1.0,47021
3,514.0,1416.0,1.0,45015
3,1974.0,1881.0,1.0,40143
3,1864.0,1713.0,1.0,42884
3,1699.0,1326.0,1.0,42107
3,1676.0,1030.0,1.0,48810
3,648.0,374.0,1.0,38612
