hyb,ch,x,y,z,int,sum_3x3_int_ch1,sum_3x3_int_ch2,ratio
12,1,567.0,1420.0,0.0,13569,13569,157,0.9885618534168731
12,1,1442.0,946.0,0.0,13795,13795,154,0.9889597820632303
12,1,131.0,985.0,0.0,14152,14152,119,0.9916614112535912
12,1,558.0,1381.0,0.0,13196,13196,143,0.9892795561886198
12,1,475.0,936.0,0.0,13366,13366,134,0.9900740740740741
12,1,1083.0,1495.0,0.0,14108,14108,138,0.9903130703355327
12,1,647.0,1026.0,0.0,14108,14108,164,0.9885089686098655
12,1,619.0,1712.0,0.0,13448,13448,123,0.9909365558912386
12,1,539.0,1399.0,0.0,14128,14128,139,0.9902572369804444
12,1,664.0,1787.0,0.0,12899,12899,130,0.9900222580397575
12,1,893.0,1750.0,0.0,13879,13879,128,0.9908617120011423
12,1,219.0,941.0,0.0,13753,13753,129,0.9907073908658695
12,1,1868.0,982.0,0.0,13832,13832,145,0.989625813837018
12,1,606.0,1695.0,0.0,12288,12288,115,0.9907280496654035
12,1,774.0,1026.0,0.0,13710,13710,155,0.988820771727371
12,1,763.0,2010.0,0.0,12493,12493,123,0.9902504755865568
12,1,645.0,1060.0,0.0,13709,13709,150,0.9891767082762104
12,1,49.0,893.0,0.0,13795,13795,114,0.9918038679991372
12,1,904.0,1400.0,0.0,13706,13706,143,0.9896743447180302
12,1,1154.0,404.0,0.0,13939,13939,137,0.9902671213412901
12,1,404.0,927.0,0.0,13079,13079,157,0.98813841039589
12,1,1693.0,1045.0,0.0,12610,12610,149,0.9883219688063328
12,1,876.0,1325.0,0.0,12045,12045,138,0.98867274070426
12,1,423.0,1194.0,0.0,12278,12278,124,0.990001612643122
12,1,686.0,1399.0,0.0,13073,13073,140,0.9894043744796791
12,1,1387.0,495.0,0.0,13115,13115,116,0.9912327110573653
12,1,462.0,1211.0,0.0,13398,13398,124,0.9908297589114037
12,1,189.0,1941.0,0.0,13841,13841,122,0.9912626226455633
12,1,597.0,632.0,0.0,13657,13657,135,0.990211716937355
12,1,732.0,1108.0,0.0,12253,12253,138,0.9888628843515455
12,1,1422.0,1825.0,0.0,12616,12616,135,0.9894125950905811
12,1,246.0,1967.0,0.0,13512,13512,126,0.99076110866696
12,1,427.0,1209.0,0.0,12921,12921,172,0.9868632093485068
12,1,1431.0,1806.0,0.0,14122,14122,135,0.9905309672441608
12,1,517.0,1821.0,0.0,13852,13852,144,0.9897113460988854
12,1,1459.0,489.0,0.0,14062,14062,143,0.9899331221400915
12,1,186.0,1951.0,0.0,12582,12582,123,0.990318772136954
12,1,1167.0,624.0,0.0,11896,11896,133,0.9889433868151966
12,1,962.0,1340.0,0.0,12362,12362,122,0.9902274911887216
12,1,975.0,1164.0,0.0,12838,12838,160,0.9876904139098323
12,1,1150.0,414.0,0.0,13484,13484,129,0.9905237640490707
12,1,473.0,1388.0,0.0,13470,13470,139,0.9897861709163054
12,1,553.0,352.0,0.0,12282,12282,116,0.990643652201968
12,1,817.0,1697.0,0.0,12605,12605,155,0.9878526645768025
12,1,672.0,1383.0,0.0,12666,12666,128,0.989995310301704
12,1,1572.0,531.0,0.0,12742,12742,144,0.9888250814837809
12,1,585.0,1768.0,0.0,12843,12843,153,0.9882271468144044
12,1,1577.0,1054.0,0.0,12653,12653,133,0.9895979978101048
12,1,1169.0,799.0,0.0,13368,13368,134,0.990075544363798
12,1,574.0,538.0,0.0,13517,13517,141,0.9896763801435057
12,1,536.0,1600.0,0.0,12355,12355,125,0.9899839743589743
12,1,1359.0,1824.0,0.0,10955,10955,140,0.9873817034700315
12,1,1495.0,1314.0,0.0,11989,11989,136,0.9887835051546392
12,1,1606.0,929.0,0.0,13803,13803,145,0.9896042443361055
12,1,996.0,1483.0,0.0,12360,12360,131,0.9895124489632535
12,1,1402.0,650.0,0.0,13770,13770,125,0.9910039582583663
12,1,1725.0,1216.0,0.0,12945,12945,129,0.9901330885727397
12,1,1202.0,1597.0,0.0,11790,11790,127,0.9893429554418058
12,1,613.0,1355.0,0.0,11622,11622,141,0.9880132619229788
12,1,831.0,784.0,0.0,13783,13783,126,0.9909411172622044
12,1,638.0,934.0,0.0,12345,12345,132,0.9894205337821592
12,1,1172.0,443.0,0.0,11852,11852,147,0.9877489790815901
12,1,767.0,1717.0,0.0,13118,13118,135,0.9898136271032973
12,1,1155.0,168.0,0.0,12170,12170,134,0.989109232769831
12,1,843.0,1372.0,0.0,12433,12433,143,0.9886291348600509
12,1,377.0,951.0,0.0,12150,12150,142,0.9884477709079076
12,1,1693.0,1828.0,0.0,13220,13220,155,0.988411214953271
12,1,1674.0,1150.0,0.0,12163,12163,153,0.9875771354335824
12,1,88.0,1028.0,0.0,13758,13758,132,0.9904967602591793
12,1,545.0,1272.0,0.0,12380,12380,127,0.9898456864156072
