hyb,ch,x,y,z,int,sum_3x3_int_ch1
12,1,506.0,1432.0,6.0,13081,3307
12,1,1341.0,535.0,7.0,12991,2898
12,1,1045.0,644.0,6.0,13019,2290
12,1,1788.0,1028.0,5.0,12010,50322
12,1,805.0,468.0,6.0,12919,2337
12,1,1487.0,1025.0,5.0,13105,18733
12,1,274.0,1567.0,7.0,13060,2365
12,1,1115.0,786.0,5.0,12540,3786
12,1,816.0,710.0,6.0,12772,2239
12,1,816.0,1047.0,6.0,12942,5982
12,1,1104.0,809.0,8.0,13088,2565
12,1,860.0,392.0,9.0,12204,2272
12,1,316.0,1383.0,5.0,13047,3442
12,1,961.0,744.0,5.0,12610,3370
12,1,467.0,1715.0,5.0,12677,86941
12,1,1784.0,1374.0,8.0,12535,2273
12,1,769.0,844.0,7.0,12918,24305
12,1,1434.0,2046.0,5.0,13124,26649
12,1,921.0,501.0,7.0,12591,2227
12,1,844.0,1018.0,6.0,12827,3938
12,1,983.0,1153.0,6.0,13066,9060
12,1,1177.0,706.0,8.0,12765,10608
12,1,1563.0,609.0,6.0,12663,2859
12,1,1341.0,530.0,8.0,12975,3482
12,1,1547.0,894.0,8.0,12065,11927
12,1,1481.0,1199.0,13.0,12358,13673
12,1,551.0,1611.0,5.0,12771,13793
12,1,1702.0,1310.0,5.0,12861,3624
12,1,633.0,1250.0,5.0,12678,4770
12,1,905.0,1620.0,5.0,12373,9181
12,1,1539.0,1184.0,11.0,11667,2649
12,1,593.0,1913.0,5.0,12222,57980
12,1,1271.0,583.0,5.0,12907,4860
12,1,1100.0,291.0,12.0,11709,2587
12,1,1661.0,1139.0,7.0,12175,3002
12,1,175.0,2035.0,6.0,13041,2385
12,1,789.0,1165.0,12.0,11736,3001
12,1,834.0,686.0,5.0,12812,3421
12,1,1605.0,1080.0,5.0,12579,4655
12,1,865.0,459.0,9.0,12293,2243
12,1,629.0,972.0,5.0,12309,5662
12,1,1471.0,665.0,6.0,12768,30071
12,1,756.0,768.0,5.0,12109,3484
12,1,462.0,1776.0,6.0,12889,14814
12,1,1116.0,750.0,5.0,12369,3721
12,1,577.0,1768.0,6.0,12306,23076
12,1,322.0,1167.0,6.0,12830,2553
12,1,1065.0,724.0,5.0,12087,3396
12,1,1008.0,677.0,5.0,12096,3363
12,1,1417.0,893.0,7.0,12970,3782
12,1,906.0,449.0,9.0,12093,2146
12,1,551.0,1649.0,7.0,11177,10756
12,1,1579.0,614.0,6.0,12122,2666
12,1,469.0,1981.0,6.0,12790,2818
12,1,185.0,1548.0,6.0,12809,2297
12,1,567.0,843.0,6.0,12616,2901
12,1,1064.0,1154.0,5.0,12209,4490
12,1,227.0,793.0,5.0,11446,3351
12,1,1457.0,771.0,6.0,12466,3455
12,1,1366.0,1022.0,8.0,12366,11091
12,1,789.0,261.0,6.0,13050,2132
12,1,1787.0,969.0,5.0,12524,5959
12,1,1341.0,590.0,5.0,12357,4352
12,1,569.0,776.0,5.0,12025,4197
12,1,559.0,1706.0,6.0,11558,3154
12,1,484.0,1416.0,5.0,11789,33182
12,1,299.0,1897.0,6.0,12323,14119
12,1,1674.0,1304.0,5.0,12855,3617
12,1,1718.0,1342.0,5.0,12958,3474
12,1,331.0,1385.0,5.0,11732,3488
12,1,1733.0,1037.0,6.0,11789,16401
12,1,704.0,812.0,5.0,11853,10255
12,1,1363.0,837.0,13.0,12498,13821
12,1,415.0,866.0,5.0,11929,4450
12,1,481.0,1799.0,6.0,13076,7137
12,1,1310.0,682.0,5.0,12615,3745
12,1,1379.0,956.0,7.0,12038,2679
12,1,1519.0,653.0,5.0,12849,4533
12,1,1527.0,978.0,8.0,12987,5777
12,1,740.0,786.0,5.0,11611,3680
12,1,1207.0,977.0,5.0,12609,79012
12,1,693.0,1161.0,5.0,12228,9575
12,1,1448.0,1197.0,5.0,12844,39786
12,1,982.0,1730.0,5.0,11584,22427
12,1,1070.0,745.0,5.0,12826,3493
12,1,498.0,908.0,5.0,12537,14359
12,1,1456.0,735.0,5.0,13019,14045
12,1,1927.0,1463.0,7.0,12576,2220
12,1,932.0,1735.0,5.0,12365,12500
12,1,834.0,644.0,5.0,12597,3325
12,1,1579.0,573.0,6.0,12595,6373
12,1,47.0,930.0,6.0,11545,6360
12,1,1079.0,1125.0,6.0,12318,3151
12,1,875.0,251.0,6.0,12285,2158
12,1,537.0,1460.0,6.0,12642,2844
12,1,750.0,946.0,6.0,11987,27563
12,1,675.0,1137.0,5.0,12228,8479
12,1,990.0,78.0,6.0,12579,2572
12,1,1328.0,640.0,5.0,12068,41185
12,1,1718.0,399.0,6.0,12621,106559
12,1,1723.0,1446.0,5.0,12860,3240
12,1,1253.0,1019.0,6.0,12382,2933
12,1,1418.0,924.0,5.0,12572,4269
12,1,722.0,74.0,5.0,11493,3239
12,1,750.0,855.0,5.0,11786,21387
12,1,796.0,719.0,6.0,11779,2365
12,1,994.0,691.0,5.0,12792,3371
12,1,1387.0,396.0,5.0,11899,4116
12,1,388.0,1591.0,6.0,12501,13596
12,1,674.0,1144.0,5.0,13076,4939
12,1,531.0,922.0,6.0,13140,16472
12,1,964.0,2005.0,5.0,11120,3685
12,1,803.0,819.0,9.0,11328,3772
12,1,375.0,1399.0,5.0,13056,3570
12,1,339.0,1983.0,8.0,11412,9427
12,1,1072.0,546.0,5.0,12838,3697
12,1,1780.0,956.0,6.0,11677,3088
12,1,1080.0,623.0,6.0,12328,2550
12,1,874.0,261.0,6.0,12943,2258
12,1,949.0,812.0,6.0,11777,2240
12,1,1467.0,1205.0,8.0,11249,16805
12,1,878.0,745.0,6.0,12342,2199
12,1,255.0,852.0,5.0,11909,3457
12,1,517.0,877.0,5.0,12975,9570
12,1,808.0,977.0,6.0,12471,2745
12,1,1470.0,1019.0,5.0,12085,5162
12,1,1101.0,490.0,5.0,12518,5187
12,1,1363.0,372.0,6.0,12187,2474
12,1,1470.0,744.0,5.0,11344,49409
12,1,1531.0,833.0,5.0,10679,21208
12,1,361.0,1405.0,5.0,12163,3587
12,1,1457.0,744.0,5.0,12519,23254
12,1,1542.0,1325.0,5.0,12182,7181
12,1,906.0,1254.0,7.0,13120,4682
