ch,x,y,z,int
1,218,480,0,52876
1,1176,1336,0,54032
1,1564,1715,0,48824
1,1419,1254,0,44606
1,878,928,0,42213
1,1429,1519,0,38886
1,917,981,0,34463
1,948,777,0,37321
1,987,992,0,33653
1,1657,1573,0,30751
1,1868,1185,0,27172
1,624,613,0,23829
1,1067,1606,0,27901
1,336,1852,0,24745
1,969,1346,0,26509
1,1401,942,0,24894
1,1688,1409,0,26126
1,1637,1887,0,24798
1,1609,1046,0,24583
1,1506,1488,0,23333
1,1216,2040,0,23789
1,1795,473,0,23823
1,1228,1508,0,24147
1,639,460,0,22174
1,1560,103,0,21008
1,1187,1346,0,21901
1,1013,536,0,22183
1,1623,918,0,21717
1,330,1239,0,19588
1,2012,1673,0,19074
1,612,1265,0,19420
1,1834,570,0,19281
1,1816,1612,0,19458
1,724,768,0,18121
1,2014,1354,0,18105
1,585,788,0,18020
1,1117,247,0,18587
1,1763,712,0,18602
1,631,976,0,18622
1,1912,1739,0,16551
1,602,319,0,17725
1,1022,1647,0,18094
1,1228,1328,0,17602
1,1092,1414,0,17918
1,1117,1302,0,17506
1,566,567,0,17788
1,1872,542,0,16870
1,415,577,0,16629
1,1918,466,0,16362
1,930,1068,0,16219
1,1744,1191,0,18310
1,835,44,0,14741
1,750,547,0,18174
1,228,1855,0,15331
1,2009,1602,0,14612
1,485,977,0,16118
1,668,324,0,16537
1,515,424,0,16397
1,1108,1541,0,16146
1,1881,1723,0,15485
1,1673,1693,0,16449
1,2016,1972,0,14499
1,2039,1816,0,14904
1,1794,832,0,14831
1,396,1100,0,15862
1,2017,1902,0,14359
1,489,1605,0,15805
1,1754,861,0,15446
1,172,515,0,14580
1,101,1405,0,14463
1,535,970,0,15093
1,1651,620,0,15880
1,1441,36,0,15589
1,295,1463,0,14116
1,559,478,0,14815
1,1963,1773,0,14910
1,475,1874,0,14333
1,1017,1616,0,14570
1,1471,1513,0,14475
1,2013,523,0,14278
1,1675,1030,0,14108
1,379,1222,0,14248
1,1634,1311,0,15170
1,567,1594,0,13247
1,132,1352,0,13140
1,879,1029,0,13961
1,535,41,0,13590
1,1070,692,0,13640
1,878,857,0,14465
1,720,624,0,14083
1,1653,1769,0,13151
1,828,101,0,13791
1,664,275,0,13408
1,1169,1527,0,14203
1,440,1059,0,13993
1,709,1603,0,13861
1,1241,256,0,13073
1,1918,1056,0,13481
1,495,398,0,13252
1,1744,758,0,13453
1,1973,1801,0,12752
1,999,282,0,14500
1,110,787,0,12693
1,1993,1895,0,12396
1,1813,431,0,13176
1,840,1027,0,11068
1,556,416,0,12341
1,165,1612,0,11767
1,842,1013,0,11117
1,622,699,0,11440
1,1200,1462,0,12646
1,1534,1306,0,13269
1,2025,1833,0,11070
1,541,915,0,12384
1,453,476,0,12091
1,1960,440,0,11995
1,1608,1638,0,12259
1,753,471,0,12851
1,1933,1691,0,12122
1,649,375,0,12058
1,1522,1743,0,11406
1,523,1640,0,11639
1,31,1080,0,56740
1,1882,811,0,10481
1,701,134,0,10623
1,340,1831,0,10765
1,170,161,0,10205
1,56,1684,0,10577
1,1117,523,0,10946
1,1864,1713,0,11198
1,1730,422,0,10389
1,535,1783,0,10871
1,887,186,0,10754
1,1973,1881,0,10404
1,2037,520,0,10706
1,1848,1756,0,10077
1,1654,104,0,9814
1,498,1696,0,10323
1,663,1034,0,9743
1,466,551,0,10235
1,756,829,0,10674
1,1879,1807,0,9327
1,90,323,0,9538
1,389,1166,0,9772
1,1003,1923,0,9138
1,1850,860,0,9247
1,511,1587,0,9583
1,405,1391,0,9875
1,119,1162,0,9569
1,625,1981,0,8932
1,1768,21,0,9233
1,1761,688,0,10040
1,446,415,0,9038
1,223,1208,0,9328
1,298,1525,0,9133
1,413,1964,0,8774
1,1717,1004,0,8418
1,811,2011,0,8952
1,1576,1597,0,8116
1,510,1930,0,8789
1,1699,1326,0,8886
1,115,401,0,8178
1,10,1350,0,8245
1,515,1416,0,6195
1,966,4,0,8443
