ch,x,y,z,int
1,1552,353,0,58871
1,861,974,0,34454
1,1834,1918,0,35979
1,1534,1586,0,26638
1,1508,1373,0,21890
1,1110,415,0,19922
1,489,303,0,19676
1,1078,970,0,21555
1,1337,498,0,19048
1,1261,1491,0,18583
1,583,1826,0,16793
1,295,927,0,16102
1,1704,1682,0,16769
1,1097,1427,0,16875
1,344,1291,0,16189
1,1422,404,0,15985
1,875,1976,0,16040
1,1157,832,0,15755
1,402,1314,0,14875
1,768,1532,0,16185
1,750,1201,0,15824
1,1058,957,0,15288
1,1546,1654,0,14778
1,1734,601,0,14344
1,1290,521,0,14670
1,1121,110,0,14034
1,1955,1300,0,14745
1,1543,581,0,13966
1,1594,987,0,14875
1,1669,466,0,13513
1,244,968,0,13452
1,1315,758,0,13850
1,1797,1158,0,13744
1,997,1004,0,13142
1,1935,1746,0,13027
1,1797,1754,0,13118
1,1383,1637,0,14143
1,1587,1722,0,12594
1,797,1761,0,13682
1,1279,357,0,13129
1,1373,1396,0,13259
1,1213,959,0,12963
1,1497,978,0,12965
1,1250,1916,0,11917
1,1727,1777,0,13245
1,1165,1416,0,12479
1,1299,1331,0,13218
1,1513,526,0,12946
1,1015,1429,0,12502
1,1342,1930,0,12343
1,523,1415,0,12704
1,1558,926,0,13100
1,1157,632,0,12280
1,1194,1027,0,11440
1,1380,844,0,12150
1,1449,1304,0,11167
1,31,1080,0,56739
1,1255,1806,0,11190
1,198,1139,0,11863
1,1481,275,0,12299
1,668,293,0,11476
1,1719,1855,0,10999
1,1788,1167,0,11130
1,1362,2011,0,11705
1,1773,2013,0,10921
1,924,1770,0,11258
1,1658,217,0,10867
1,1200,334,0,11661
1,848,1719,0,11436
1,1235,1981,0,10203
1,1726,473,0,10947
1,714,1464,0,10914
1,601,448,0,11057
1,1259,1885,0,9890
1,126,694,0,10150
1,1202,1364,0,10723
1,1235,428,0,10332
1,1978,1768,0,10426
1,1613,727,0,9786
1,852,1766,0,10529
1,1648,1306,0,9744
1,634,961,0,10411
1,1366,1646,0,10240
1,981,1468,0,10527
1,713,1912,0,10053
1,560,1725,0,10171
1,668,950,0,10662
1,1536,321,0,9904
1,1597,742,0,10215
1,1684,647,0,10420
1,1920,1885,0,9480
1,848,1983,0,10008
1,1377,1642,0,10728
1,824,1736,0,9854
1,75,2039,0,8408
1,1974,1173,0,9327
1,1978,1320,0,9656
1,765,1816,0,9683
1,1541,450,0,9599
1,479,310,0,9207
1,76,1478,0,8718
1,325,1440,0,9286
1,1101,590,0,9404
1,1691,807,0,8962
1,1634,1350,0,8183
1,1211,398,0,9330
1,217,848,0,9274
1,171,1994,0,7789
1,747,1191,0,9424
1,275,1241,0,8954
1,420,220,0,8775
1,1588,758,0,9500
1,1593,1795,0,8618
1,1745,2025,0,8801
1,1705,879,0,8855
1,325,1224,0,8710
1,1081,750,0,8708
1,656,1556,0,8675
1,915,650,0,8667
1,816,1484,0,8255
1,1393,1590,0,8836
1,1594,1016,0,9202
1,839,1430,0,8500
1,674,1102,0,8454
1,1507,145,0,8464
1,868,1740,0,8357
1,1982,1696,0,8063
1,532,440,0,8649
1,1720,1151,0,8392
1,2036,1541,0,7539
1,1616,1164,0,7965
1,626,1434,0,8747
1,805,2044,0,8074
1,1029,1766,0,7899
1,1363,1980,0,7651
1,668,128,0,7907
1,44,1382,0,7544
1,1770,1896,0,7877
1,76,1603,0,7079
1,152,864,0,7758
