ch,x,y,z,int
1,1419,1254,0,44606
1,948,777,0,37321
1,987,992,0,33653
1,1868,1185,0,27172
1,1067,1606,0,27901
1,1688,1409,0,26126
1,1609,1046,0,24583
1,1216,2040,0,23789
1,2012,1673,0,19074
1,1228,1328,0,17602
1,930,1068,0,16219
1,2009,1602,0,14612
1,1881,1723,0,15485
1,1673,1693,0,16449
1,2039,1816,0,14904
1,2017,1902,0,14359
1,1963,1773,0,14910
1,1017,1616,0,14570
1,1471,1513,0,14475
1,567,1594,0,13247
1,1918,1056,0,13481
1,1973,1801,0,12752
1,1993,1895,0,12396
1,1534,1306,0,13269
1,2025,1833,0,11070
1,541,915,0,12384
1,1608,1638,0,12259
1,31,1080,0,56740
1,1973,1881,0,10404
1,1003,1923,0,9138
1,1576,1597,0,8116
1,1699,1326,0,8886
1,62,1707,0,7802
1,1996,1888,0,7754
1,1870,1892,0,6578
1,1992,1145,0,6971
1,1564,1715,1,53396
1,948,777,1,33741
1,987,992,1,30873
1,1657,1572,1,28073
1,1216,2040,1,26353
1,1609,1046,1,26424
1,1867,1185,1,24316
1,2009,1602,1,19223
1,930,1068,1,20636
1,2016,1971,1,18624
1,2012,1673,1,20678
1,1688,1409,1,20736
1,1471,1513,1,18765
1,2014,1353,1,18459
1,295,1462,1,17805
1,2039,1816,1,16840
1,2017,1902,1,16004
1,1881,1723,1,16728
1,1754,860,1,16849
1,567,1594,1,16518
1,1070,691,1,16593
1,1673,1693,1,16786
1,165,1612,1,15339
1,1963,1773,1,15127
1,1623,917,1,14254
1,1003,1923,1,13404
1,1017,1616,1,14259
1,1993,1895,1,14069
1,1973,1801,1,14000
1,1228,1328,1,13253
1,2025,1833,1,12279
1,556,415,1,12434
1,1848,1755,1,11484
1,1744,757,1,12175
1,1608,1638,1,12393
1,31,1080,1,56659
1,541,915,1,11411
1,1918,1056,1,12332
1,1576,1597,1,10814
1,1973,1881,1,10927
1,413,1964,1,10822
1,1699,1326,1,10665
1,1899,881,1,9529
1,1634,1310,1,10172
1,1508,1585,1,8773
1,282,1950,1,8688
1,1992,1145,1,8751
1,1534,1306,1,9381
1,1697,1502,1,9024
1,509,1771,1,8983
1,597,1725,1,8321
1,1996,1888,1,8281
2,877,927,0,39676
2,217,479,0,28052
2,1176,1335,0,28465
2,1563,1715,0,24323
2,1657,1572,0,24113
2,1429,1518,0,20407
2,1401,941,0,20861
2,1795,472,0,19684
2,1763,711,0,18519
2,612,1264,0,15436
2,1623,917,0,16749
2,1116,1302,0,16871
2,1636,1886,0,14045
2,916,980,0,12217
2,638,459,0,14905
2,1505,1487,0,12810
2,534,970,0,13234
2,968,1345,0,11552
2,1634,1310,0,13696
2,623,612,0,10818
2,719,624,0,13948
2,877,856,0,14417
2,1168,1526,0,12390
2,1813,430,0,12923
2,515,423,0,11407
2,1092,1413,0,12781
2,1559,102,0,9885
2,630,975,0,12250
2,2014,1353,0,10921
2,1912,1738,0,9945
2,1933,1690,0,10096
2,749,546,0,11521
2,1116,246,0,10671
2,335,1851,0,8866
2,565,566,0,10081
2,329,1239,0,8935
2,1021,1646,0,10739
2,1651,619,0,10575
2,1441,35,0,10428
2,827,100,0,9595
