hyb,ch,x,y,z,int
4,1,2,234,1,292
4,1,2,721,1,514
4,1,2,991,1,276
4,1,2,1442,1,324
4,1,2,1735,1,317
4,1,3,212,1,716
4,1,3,1160,1,335
4,1,3,1855,1,487
4,1,3,1959,1,269
4,1,4,251,1,327
4,1,4,446,1,1155
4,1,4,634,1,270
4,1,4,890,1,340
4,1,4,1850,1,282
4,1,4,1872,1,282
4,1,5,623,1,323
4,1,5,1548,1,320
4,1,6,409,1,330
4,1,6,974,1,554
4,1,6,1730,1,412
4,1,6,1826,1,725
4,1,6,1861,1,270
4,1,6,1866,1,455
4,1,6,1968,1,314
4,1,7,631,1,543
4,1,7,1012,1,945
4,1,7,1086,1,269
4,1,7,1318,1,407
4,1,8,1779,1,442
4,1,9,114,1,302
4,1,9,402,1,369
4,1,9,490,1,317
4,1,9,1160,1,434
4,1,9,1958,1,580
4,1,10,1794,1,505
4,1,11,680,1,504
4,1,11,933,1,275
4,1,11,1142,1,281
4,1,12,579,1,293
4,1,12,788,1,397
4,1,12,1975,1,465
4,1,13,304,1,577
4,1,13,369,1,432
4,1,13,520,1,328
4,1,13,562,1,280
4,1,13,1754,1,298
4,1,14,300,1,454
4,1,14,627,1,330
4,1,14,983,1,681
4,1,14,1140,1,292
4,1,14,1745,1,319
4,1,14,1962,1,550
4,1,15,348,1,709
4,1,15,824,1,373
4,1,15,1858,1,419
4,1,16,587,1,619
4,1,16,1862,1,336
4,1,17,688,1,293
4,1,17,1107,1,266
4,1,17,1116,1,369
4,1,17,1814,1,539
4,1,17,1901,1,290
4,1,18,554,1,508
4,1,18,1167,1,291
4,1,18,1369,1,273
4,1,18,1764,1,389
4,1,18,1843,1,419
4,1,18,1852,1,561
4,1,18,1867,1,324
4,1,18,1972,1,589
4,1,19,1836,1,266
4,1,19,1856,1,582
4,1,19,1954,1,575
4,1,20,715,1,716
4,1,20,1110,1,537
4,1,20,1233,1,273
4,1,20,1808,1,342
4,1,20,1833,1,367
4,1,20,1874,1,476
4,1,20,1981,1,799
4,1,21,510,1,305
4,1,22,607,1,698
4,1,22,774,1,641
4,1,22,1408,1,275
4,1,22,1680,1,308
4,1,22,1750,1,287
4,1,22,1813,1,547
4,1,22,1828,1,320
4,1,22,1925,1,361
4,1,23,1120,1,656
4,1,24,921,1,319
