hyb,ch,x,y,z,int
4,1,2,617,1,61.65833599999999
4,1,2,932,1,77.10662400000001
4,1,2,948,1,51.92896400000001
4,1,2,1784,1,59.980761
4,1,3,279,1,55.218658000000005
4,1,3,1855,1,231.203832
4,1,4,251,1,131.090573
4,1,4,648,1,327.53835799999996
4,1,5,294,1,73.99139100000002
4,1,5,309,1,52.89256800000001
4,1,5,409,1,120.772232
4,1,5,446,1,461.145338
4,1,5,589,1,68.65375
4,1,5,623,1,92.60505799999999
4,1,5,1730,1,153.058852
4,1,5,1866,1,178.833161
4,1,5,1967,1,115.748243
4,1,6,974,1,208.085279
4,1,6,1680,1,69.84307799999999
4,1,7,631,1,218.378754
4,1,7,1012,1,375.14839500000005
4,1,7,1085,1,69.945539
4,1,7,1318,1,159.03724799999998
4,1,7,1826,1,324.903669
4,1,8,310,1,51.889741000000015
4,1,8,1779,1,148.97418900000002
4,1,8,1959,1,238.66061200000001
4,1,9,401,1,104.98453800000001
4,1,9,1160,1,155.09412999999998
4,1,9,1658,1,69.744293
4,1,10,1794,1,171.001072
4,1,10,1984,1,112.83770799999999
4,1,11,649,1,74.478962
4,1,11,680,1,177.822866
4,1,11,934,1,69.060022
4,1,12,375,1,52.06485799999999
4,1,12,1113,1,115.077943
4,1,12,1762,1,51.77846199999999
4,1,12,1975,1,157.81473400000002
4,1,13,302,1,258.886517
4,1,13,369,1,136.271739
4,1,13,489,1,75.217284
4,1,13,520,1,75.37948599999999
4,1,13,1140,1,111.06778699999998
4,1,14,983,1,203.950515
4,1,15,348,1,229.012863
4,1,15,825,1,89.10531600000002
4,1,15,1950,1,108.845778
4,1,15,1963,1,226.741318
4,1,16,587,1,219.634827
4,1,16,1258,1,65.169376
4,1,16,1315,1,75.06981399999998
4,1,17,27,1,84.04533
4,1,17,688,1,125.59732600000001
4,1,17,1117,1,103.05430900000002
4,1,17,1867,1,69.87701999999999
4,1,17,1901,1,75.87128799999999
4,1,18,554,1,231.895976
4,1,18,1166,1,98.029743
4,1,18,1814,1,177.053473
4,1,18,1834,1,88.80728500000001
4,1,18,1844,1,121.85210800000002
4,1,18,1854,1,271.03356900000006
4,1,19,1110,1,183.03616300000002
4,1,19,1369,1,59.952765
4,1,19,1764,1,125.87612200000001
4,1,19,1954,1,171.918748
4,1,19,1972,1,199.89197800000002
4,1,20,670,1,69.91519299999999
4,1,20,715,1,267.235416
4,1,20,1874,1,159.928134
4,1,20,1943,1,63.109646000000026
4,1,20,1981,1,411.94263800000004
4,1,21,607,1,228.113789
4,1,21,1807,1,115.00445500000001
4,1,22,508,1,84.735817
4,1,22,669,1,68.91129699999999
4,1,22,774,1,254.05698
4,1,22,808,1,57.326774
4,1,22,1751,1,85.861424
4,1,22,1813,1,193.008848
4,1,22,1924,1,132.95953400000002
4,1,23,1431,1,51.113984999999985
4,1,23,1828,1,74.097508
4,1,24,1119,1,336.02100099999996
4,1,24,1337,1,90.06392199999999
4,1,24,1839,1,360.91577100000006
4,1,25,544,1,92.06412499999999
4,1,25,785,1,520.2411609999999
4,1,25,1871,1,285.002134
4,1,26,846,1,179.557901
4,1,27,266,1,351.05784200000005
4,1,27,980,1,101.21122700000001
4,1,27,1126,1,69.01364900000002
4,1,28,1147,1,112.050093
4,1,28,1823,1,58.093233999999995
4,1,28,1963,1,348.881414
4,1,29,612,1,103.87924000000001
4,1,29,1757,1,59.932113999999984
4,1,29,1880,1,74.00548
4,1,29,1977,1,179.98637200000002
4,1,31,287,1,101.19909799999999
4,1,32,296,1,55.06145599999999
4,1,32,1815,1,174.046662
4,1,32,1835,1,103.919198
4,1,33,1184,1,89.03488100000001
4,1,33,1828,1,187.13664500000002
4,1,33,1918,1,253.035763
4,1,34,1013,1,76.08281199999999
4,1,35,1860,1,69.01194100000001
4,1,36,745,1,74.84416100000001
4,1,36,1146,1,151.973607
4,1,36,1751,1,125.89129299999999
4,1,36,1853,1,155.123965
4,1,36,1971,1,89.95651000000001
4,1,36,2034,1,395.894191
4,1,37,488,1,135.383797
