cpath,cost,value,cc,cc_size,xs,ys,zs
"[622, 18406, 36929, 63676]",16.78265093497706,425,1,1,"[544.201, 544.464, 544.881, 544.888]","[1833.526, 1833.624, 1833.372, 1833.708]","[0.0, 0.0, 0.0, 0.0]"
"[3453, 24306, 45971, 51490]",13.331028476425752,500,2,1,"[660.295, 660.6060000000001, 660.6039999999998, 660.61]","[846.94, 847.175, 846.627, 846.547]","[0.0, 0.0, 0.0, 0.0]"
"[6248, 20126, 32624, 51128]",9.793849103843808,282,3,1,"[1402.295, 1402.875, 1402.46, 1402.61]","[1000.94, 1000.708, 1000.725, 1000.547]","[0.0, 0.0, 0.0, 0.0]"
"[6319, 20929, 45054, 62772]",13.771446886038436,460,4,1,"[433.226, 432.875, 433.604, 433.36300000000006]","[36.409, 36.708, 36.627, 36.654]","[0.0, 0.0, 0.0, 0.0]"
"[6546, 20650, 44699, 61668]",11.84177335541414,460,5,1,"[1154.226, 1154.875, 1154.604, 1154.363]","[1592.409, 1592.708, 1592.6270000000004, 1592.654]","[0.0, 0.0, 0.0, 0.0]"
"[6644, 20828, 44548, 62832]",13.241159627451145,460,6,1,"[352.226, 351.875, 352.6040000000001, 352.36300000000006]","[1484.409, 1484.708, 1484.6270000000004, 1484.654]","[0.0, 0.0, 0.0, 0.0]"
"[6915, 23886, 37642, 64879]",17.04679113623914,557,7,1,"[1251.226, 1251.606, 1251.569, 1251.888]","[326.409, 326.175, 326.1090000000001, 326.708]","[0.0, 0.0, 0.0, 0.0]"
"[6980, 18401, 37761, 56592]",16.058248209579222,524,8,1,"[616.226, 616.464, 616.569, 616.825]","[736.409, 736.6239999999998, 736.1089999999998, 736.7330000000002]","[0.0, 0.0, 0.0, 0.0]"
"[9089, 27277, 41677, 55941]",14.553201232584188,261,9,1,"[1497.854, 1498.1570000000004, 1497.405, 1497.825]","[504.346, 504.405, 504.444, 504.733]","[0.0, 0.0, 0.0, 0.0]"
"[9842, 21792, 41985, 63792]",16.497028718709338,403,10,1,"[1827.839, 1827.666, 1827.405, 1827.888]","[1244.002, 1244.432, 1244.444, 1244.708]","[0.0, 0.0, 0.0, 0.0]"
"[9856, 24414, 29512, 62403]",19.640928777955526,272,11,1,"[392.839, 392.606, 392.375, 392.36300000000006]","[754.002, 754.175, 754.563, 754.654]","[0.0, 0.0, 0.0, 0.0]"
"[9955, 23959, 41286, 56063]",17.980375928752856,554,12,1,"[1095.839, 1095.606, 1095.405, 1095.825]","[936.002, 936.175, 936.444, 936.733]","[0.0, 0.0, 0.0, 0.0]"
"[10109, 24279, 36981, 51741]",18.785363700921586,139,13,1,"[732.8389999999998, 732.6060000000001, 732.8810000000002, 732.61]","[715.002, 715.175, 715.372, 714.547]","[0.0, 0.0, 0.0, 0.0]"
"[10160, 23906, 43363, 56253]",18.058252670078407,554,14,1,"[1920.839, 1920.606, 1920.405, 1920.825]","[1915.002, 1915.175, 1914.444, 1914.733]","[0.0, 0.0, 0.0, 0.0]"
"[10213, 18169, 29290, 51132]",15.856467541637262,576,15,1,"[859.8389999999998, 859.4639999999998, 859.375, 859.61]","[1063.002, 1063.624, 1063.563, 1063.547]","[0.0, 0.0, 0.0, 0.0]"
"[10554, 21738, 45033, 51274]",10.59475758241698,335,16,1,"[220.83900000000003, 220.666, 220.604, 220.61]","[1551.0020000000004, 1551.432, 1551.6270000000004, 1551.547]","[0.0, 0.0, 0.0, 0.0]"
"[10666, 24095, 37057, 51721]",10.59413799499452,139,17,1,"[856.8389999999998, 856.6060000000001, 856.8810000000002, 856.61]","[1055.002, 1055.175, 1055.372, 1055.547]","[0.0, 0.0, 0.0, 0.0]"
"[10697, 23676, 29051, 62177]",16.010930591077273,272,18,1,"[953.839, 953.606, 953.375, 953.363]","[1830.002, 1830.175, 1829.563, 1829.654]","[0.0, 0.0, 0.0, 0.0]"
"[10742, 22043, 36073, 62581]",16.357643053197904,281,19,1,"[1083.839, 1083.6660000000004, 1083.881, 1083.363]","[416.002, 415.432, 415.372, 415.654]","[0.0, 0.0, 0.0, 0.0]"
"[10827, 24029, 29563, 62358]",17.776838863679508,272,20,1,"[947.839, 947.606, 947.375, 947.363]","[1500.0020000000004, 1500.175, 1500.563, 1500.654]","[0.0, 0.0, 0.0, 0.0]"
"[10990, 23895, 42931, 56225]",17.142066609352703,554,21,1,"[2025.839, 2025.606, 2025.405, 2025.825]","[1320.0020000000004, 1320.175, 1319.444, 1319.733]","[0.0, 0.0, 0.0, 0.0]"
"[11031, 24665, 35558, 51102]",19.925140665652982,139,22,1,"[1517.839, 1517.606, 1517.881, 1517.61]","[354.0019999999999, 354.175, 353.372, 353.547]","[0.0, 0.0, 0.0, 0.0]"
