geneID,x,y,z,intensity,seeds
Cers6,70,28.6666666666667,0.333333333333333,174.666666666667,3
Cers6,176.6,117,1.6,182.2,5
Cers6,101.25,71.75,1.5,235.75,4
Cers6,20,0,2.33333333333333,201.333333333333,3
Cers6,9,147.333333333333,2.33333333333333,214.666666666667,3
Cers6,74,0,3,163,3
Cers6,189,65,2,200.666666666667,3
Cers6,32,37,2.4,258.4,5
Cers6,92.2,119.6,0.4,202.8,5
Cers6,109,174.333333333333,3,209.666666666667,3
Cers6,8,137,0.75,201.5,4
Cers6,65,172,0,280.666666666667,3
Cers6,93,92.8888888888889,1.66666666666667,253.111111111111,9
Cers6,147.666666666667,8.66666666666667,0,198.333333333333,3
Cers6,119,163.666666666667,0,202,3
Cers6,81,55,1.75,277.75,4
Cers6,37.3333333333333,156.666666666667,2,196.333333333333,3
Cers6,135.666666666667,46.6666666666667,1.33333333333333,226.333333333333,3
Cers6,199,184,1.5,286.25,4
Cers6,187,0.333333333333333,0,219.333333333333,3
Cers6,10,82,2,175,3
Cers6,199,134,0.666666666666667,264.333333333333,3
Cers6,163.333333333333,143.666666666667,2,179.333333333333,3
Cers6,131.333333333333,90.3333333333333,2.66666666666667,185,3
Cers6,199,147,0.333333333333333,196.333333333333,3
Cers6,187.75,49,0.75,185,4
Cers6,55,135.333333333333,3,202.333333333333,3
Cers6,41.6666666666667,53.6666666666667,0,229.666666666667,3
Cers6,148,42,2.66666666666667,301,3
Cers6,25.2,51.8,1.4,196.6,5
Cers6,63,120,0,256,3
Cers6,106.75,99,2.25,221.5,4
Cers6,112.666666666667,128,2,214.666666666667,3
Cers6,65.6666666666667,73.3333333333333,3,205.666666666667,3
Cers6,89,62.75,2,202.5,4
Cers6,0,154,3,201.333333333333,3
Cers6,159.333333333333,171,2.33333333333333,209.333333333333,3
Cers6,118.75,195.75,2.25,205.5,4
Cers6,3,60,2,282.333333333333,3
Cers6,88,176,2.6,298.6,5
Cers6,91,172,1.25,248.75,4
Cers6,12,156,2.25,277.5,4
Cers6,0,76,0.333333333333333,220.333333333333,3
Cers6,91.75,5,2.5,223,4
Cers6,71.3333333333333,59,2,256.666666666667,3
Cers6,100,193,1,276,3
Cers6,115.333333333333,199,2,210.666666666667,3
Cers6,174,157,0.5,299.5,4
Cers6,40.75,143,1.5,293,4
Cers6,106.333333333333,9,2.33333333333333,179,3
Cers6,150,125.2,1.4,218.8,5
Cers6,86,110,2,262.666666666667,3
Cers6,72,129,1,261,3
Cers6,49.3333333333333,154.333333333333,1,202,3
Cers6,40,173,0.666666666666667,204.666666666667,3
Cers6,129,56,3,254,3
Cers6,114,40,2.5,275,6
Cers6,149,134,0.5,275.166666666667,6
Cers6,111,118.666666666667,2.66666666666667,233,3
Cers6,161,83,2,264.666666666667,3
Cers6,199,140,2.5,253.75,4
Cers6,161.333333333333,0,0,176.666666666667,3
Cers6,199,199,1,199,3
Cers6,89,198.666666666667,0,222.666666666667,3
Cers6,79,197,0,276.333333333333,3
Cers6,158,59,2.33333333333333,237.666666666667,3
Cers6,167,184.25,2.25,238.75,4
Cers6,43.3333333333333,93,0.666666666666667,233,3
Cers6,142.333333333333,96,2.33333333333333,185.333333333333,3
Cers6,136,172.5,0.25,230.25,4
Cers6,151,44.6666666666667,1.33333333333333,229,3
Cers6,194,152,2,229.666666666667,3
Cers6,187.666666666667,120.333333333333,3,205,3
Cers6,116.666666666667,22,2,193.666666666667,3
Cers6,179,46.6666666666667,2,221.333333333333,3
Cers6,199,57.3333333333333,0.333333333333333,188.333333333333,3
Cers6,1,35,2,189.75,4
Cers6,21,174,2.33333333333333,250,3
Cers6,116,44,0,257.333333333333,3
Cers6,188.8,85.8,0.6,199.4,5
Cers6,118,6,1,275.333333333333,3
Cers6,88,176.5,1.25,245.75,4
Cers6,31,0,2.33333333333333,182.333333333333,3
Cers6,33,62.2,2.4,277.8,5
Cers6,104.333333333333,129,2.66666666666667,199,3
Cers6,104.25,36,1.5,258.5,4
Cers6,6,99,0,247.333333333333,3
Cers6,175.25,163,0.75,206.25,4
Cers6,0,68.6666666666667,0,190.333333333333,3
Cers6,32,57,2,301.333333333333,3
