geneID,x,y,z,intensity,seeds
Cers6,70,28.6666666666667,0.333333333333333,174.666666666667,3
Cers6,176.6,117,1.6,182.2,5
Cers6,108,149,2,284,1
Cers6,122,115.5,2,214.5,2
Cers6,92.5,191,0,226.5,2
Cers6,144,77,0.5,201,2
Cers6,101.25,71.75,1.5,235.75,4
Cers6,20,0,2.33333333333333,201.333333333333,3
Cers6,9,147.333333333333,2.33333333333333,214.666666666667,3
Cers6,40,95,2.5,213,2
Cers6,110,35,3,263.5,2
Cers6,74,0,3,163,3
Cers6,55,62.5,2,199,2
Cers6,189,65,2,200.666666666667,3
Cers6,32,37,2.4,258.4,5
Cers6,98,3,3,197,2
Cers6,170,192,1,188,1
Cers6,191,14,3,196,2
Cers6,145,161.5,0,202,2
Cers6,63,100,0,275.5,2
Cers6,173.5,98.5,2,201.5,2
Cers6,19,19.5,0,195,2
Cers6,185,36,3,247,2
Cers6,0,197,1.5,206.5,2
Cers6,72,160,2,204.5,2
Cers6,154.5,120,1,225,2
Cers6,160,49,0,207.5,2
Cers6,92.2,119.6,0.4,202.8,5
Cers6,51,27,3,189.5,2
Cers6,109,174.333333333333,3,209.666666666667,3
Cers6,10,103,1,197.5,2
Cers6,82,135.5,0,212,2
Cers6,8,137,0.75,201.5,4
Cers6,65,172,0,280.666666666667,3
Cers6,93,92.8888888888889,1.66666666666667,253.111111111111,9
Cers6,35,72,3,215,1
Cers6,0,45.5,1,200.5,2
Cers6,147.666666666667,8.66666666666667,0,198.333333333333,3
Cers6,187.5,165,0,201,2
Cers6,96,20,1,270.5,2
Cers6,119,163.666666666667,0,202,3
Cers6,74,6,3,269,1
Cers6,81,55,1.75,277.75,4
Cers6,29,9.5,2,184.5,2
Cers6,37.3333333333333,156.666666666667,2,196.333333333333,3
Cers6,173,0,2,204,2
Cers6,81,85,0,203,2
Cers6,7,189,1,234,2
Cers6,150,88,0,187,1
Cers6,198,5,1,205,1
Cers6,157,30,1,180,1
Cers6,135.666666666667,46.6666666666667,1.33333333333333,226.333333333333,3
Cers6,199,184,1.5,286.25,4
Cers6,187,0.333333333333333,0,219.333333333333,3
Cers6,10,82,2,175,3
Cers6,33.5,130,3,200.5,2
Cers6,128,5,0.5,178,2
Cers6,196,92,0.5,215.5,2
Cers6,142,128,2,212,1
Cers6,178,15,0,202,1
Cers6,199,134,0.666666666666667,264.333333333333,3
Cers6,68,199,1.5,209.5,2
Cers6,163.333333333333,143.666666666667,2,179.333333333333,3
Cers6,141,29,1.5,217.5,2
Cers6,177,199,1,231,1
Cers6,40,190,3,193,1
Cers6,125,51,0,311,1
Cers6,131.333333333333,90.3333333333333,2.66666666666667,185,3
Cers6,199,147,0.333333333333333,196.333333333333,3
Cers6,0,97,0,199.5,2
Cers6,155,107,1,236,1
Cers6,99,139,3,203,2
Cers6,100,63,0.5,193.5,2
Cers6,110.5,0,1,182,2
Cers6,187.75,49,0.75,185,4
Cers6,55,135.333333333333,3,202.333333333333,3
Cers6,41.6666666666667,53.6666666666667,0,229.666666666667,3
Cers6,72.5,155,3,197,2
Cers6,182,187,0.5,215.5,2
Cers6,80,0,2,217,1
Cers6,134.5,187,3,229,2
Cers6,148,42,2.66666666666667,301,3
Cers6,118,63,2,188,1
Cers6,25.2,51.8,1.4,196.6,5
Cers6,159,70,2.5,196.5,2
Cers6,63,120,0,256,3
Cers6,106.75,99,2.25,221.5,4
Cers6,18,41,2,198,1
Cers6,144,175,1,274.5,2
Cers6,112.666666666667,128,2,214.666666666667,3
Cers6,199,35,2.5,220,2
Cers6,25,137,2,199.5,2
Cers6,199,77,0,197.5,2
Cers6,30.5,84,1,200.5,2
Cers6,161,188,3,193,2
Cers6,33,61,3,191,1
Cers6,26.5,39,2,173.5,2
Cers6,129,20.5,1,220.5,2
Cers6,49,181.5,1,178,2
Cers6,199,125.5,1,190.5,2
Cers6,11,166,1.5,291.5,2
Cers6,65.6666666666667,73.3333333333333,3,205.666666666667,3
Cers6,111,119,0,277,1
Cers6,89,62.75,2,202.5,4
Cers6,45,162.5,0,199.5,2
Cers6,17,65,3,172,2
Cers6,0,154,3,201.333333333333,3
Cers6,92,158,0.5,188,2
