geneID,x,y,z,intensity,seeds
Slc34a2,852,852,3.5,48,4
Slc34a2,799,799,1.66666666666667,32.3333333333333,3
Mbnl3,1264.66666666667,1264.66666666667,3,36.3333333333333,3
Ovol1,1964,1964,2.25,32.25,4
Ovol1,473,473,4.75,31,4
Prame,304,304,4.25,54,4
Prame,972,972,4,35.6666666666667,3
Prame,1790,1790,8.33333333333333,51.3333333333333,3
Prame,1027,1027,5.5,29,4
Tbpl1,1531,1531,8,66.6666666666667,3
Tbpl1,907,907,6,39.6666666666667,3
Tbpl1,401,401,4.25,51.5,4
Clu,362,362,0.75,52,4
Brinp1,1619,1619,6.5,54.5,4
Brinp1,1915,1915,2,36.6666666666667,3
Brinp1,645,645,1.33333333333333,49.6666666666667,3
Unc80,643,643,5.75,43.75,4
Unc80,1386,1386,5,71,3
Olfm3,1189,1189,3.25,71,4
Olfm3,263,263,8.66666666666667,59.6666666666667,3
Trim75,755,755,5,60,3
Trim75,53,53,5,45,3
Nek10,866,866,7.66666666666667,46.6666666666667,3
Nek10,1136,1136,8.75,22,4
Nek10,1842,1842,8.66666666666667,47.6666666666667,3
Jmjd1c,558,558,8.75,39,4
Jmjd1c,1041,1041,7.25,45.75,4
Tfap2c,1221,1221,9,36.3333333333333,3
Tfap2c,1599,1599,0.666666666666667,33.3333333333333,3
Pdlim3,1146,1146,7,40,3
Pdlim3,1484,1484,5.33333333333333,62.6666666666667,3
Lzts1,760,760,4.75,55.75,4
Lzts1,1938,1938,1,61,3
Lzts1,537,537,8.75,58,4
Il6ra,1604,1604,1,58.75,4
Akap5,1384,1384,7,60.25,4
Akap5,386,386,5,55.6666666666667,3
Lpp,1035,1035,0.666666666666667,24,3
Aldh1a2,1402,1402,3.75,88.25,4
Nab2,1939,1939,9,58.6666666666667,3
Nab2,1838,1838,0,62,3
Ddx58,1399,1399,4.25,32.25,4
Socs2,1229,1229,3.25,46.5,4
Socs2,541,541,6,56,3
Pramel7,1887,1887,4,49,3
Pramel7,943,943,7.75,44,4
Tmtc2,1186,1186,5.33333333333333,32.3333333333333,3
Tmtc2,1629,1629,1.66666666666667,58,3
Rem1,130,130,2.75,58.25,4
Rem1,901,901,3,27,3
Rem1,1071,1071,6.5,56.25,4
Tnfsf13,664,664,3.33333333333333,57.3333333333333,3
Il6st,1058,1058,7,37.6666666666667,3
Il6st,1864,1864,7.25,34.75,4
Il6st,925,925,8.66666666666667,54,3
Neto2,1787,1787,7,74.6666666666667,3
Neto2,1791,1791,1.66666666666667,39,3
Lin28b,1948,1948,8,52,3
Lin28b,1142,1142,4.5,29.75,4
Lypd6,1476,1476,4,40.3333333333333,3
Lypd6,859,859,4,36.6666666666667,3
Lypd6,1284,1284,0,62.6666666666667,3
Capn6,556,556,1.25,59,4
Lonrf3,1740,1740,2.25,43.25,4
Lonrf3,1486,1486,7.25,50.25,4
Lonrf3,130,130,8.33333333333333,36,3
Plcl1,1391,1391,2.66666666666667,54.3333333333333,3
Ppp1r16b,321,321,8.66666666666667,26.6666666666667,3
Smad6,556,556,9,56.25,4
Smad6,1731,1731,3.75,66.25,4
Col5a2,2029,2029,9,37.6666666666667,3
Coch,1555,1555,7,43.8333333333333,6
Stk32c,377,377,4.75,46.5,4
Stk32c,2009,2009,5.5,46,4
Stk32c,694,694,8.75,39.25,4
Stk32c,140,140,6.5,48.5,4
Clstn2,1632,1632,7,60.6666666666667,3
Tchh,1114,1114,5.75,44.75,4
Tchh,1361,1361,1.5,54.75,4
Thsd7b,212,212,2,46.3333333333333,3
Bicc1,280,280,4,63.3333333333333,3
Bicc1,731,731,5.75,47.75,4
Bicc1,872,872,1.75,50.75,4
Bicc1,282,282,1.66666666666667,69.3333333333333,3
Slc44a5,224,224,1,74,3
Arhgap36,541,541,2.5,51.5,4
Col4a1,658,658,4.5,43.25,4
Rbms3,1828,1828,0.25,58,4
Rbms3,1342,1342,6,52,3
Zfp711,213,213,3.66666666666667,63.6666666666667,3
Zfp711,1978,1978,4,48.3333333333333,3
Zfp711,1782,1782,6.33333333333333,38.3333333333333,3
Mras,1860,1860,0,59.3333333333333,3
Inpp4b,367,367,0,60.3333333333333,3
Inpp4b,1901,1901,8.75,54.5,4
Inpp4b,1298,1298,8.5,51.75,4
Prss23,291,291,8.66666666666667,56.6666666666667,3
Klhl29,1864,1864,3.25,66,4
Kcnh5,879,879,5.66666666666667,72.3333333333333,3
Kcnh5,1696,1696,3.66666666666667,63.6666666666667,3
Gtf2a1l,404,404,4.75,60.75,4
Rasgef1b,429,429,2,40.6666666666667,3
Rasgef1b,1633,1633,4.66666666666667,70,3
Rasgef1b,936,936,1.66666666666667,52,3
Rasgef1b,720,720,4.33333333333333,24.6666666666667,3
Rasgef1b,1030,1030,3.33333333333333,61.6666666666667,3
Prdm14,99,99,3,41.6666666666667,3
Pcdh9,1504,1504,5,76,3
Pcdh9,1227,1227,0,56,4
Dazl,854,854,7.75,70.25,4
Dazl,1918,1918,8.5,65,4
Dazl,1212,1212,5,41.3333333333333,3
Col6a4,924,924,8.33333333333333,37.6666666666667,3
Col6a4,493,493,5.75,40.75,4
Antxr1,1360,1360,0,42.25,4
Pecam1,1142,1142,6.33333333333333,39.3333333333333,3
Pecam1,80,80,3.75,38.25,4
Hdx,1897,1897,8.33333333333333,69.3333333333333,3
Cbfa2t2,1088,1088,3.25,14,4
Cbfa2t2,267,267,0,50.6666666666667,3
Prkg1,1716,1716,2.75,59.75,4
Lrtm2,588,588,8.66666666666667,65.3333333333333,3
Lrtm2,525,525,7,30.3333333333333,3
H1f0,125,125,0.75,23,4
H1f0,1739,1739,0.75,63.5,4
H1f0,2041,2041,7,30,3
Tpo,1576,1576,9,71.6666666666667,3
Tpo,76,76,2.75,64.25,4
Tpo,647,647,1.25,85,4
Ets1,1318,1318,4,59,3
Ets1,1673,1673,5.25,53,4
Bnc2,1942,1942,5,56,3
Bnc2,1352,1352,3.25,86.25,4
Fos,667,667,1.75,49,4
Fos,1452,1452,3.66666666666667,78.3333333333333,3
Chst7,983,983,6.33333333333333,7,3
Chst7,931,931,3,65.6666666666667,3
Src,474,474,6.75,41,4
Arhgef6,273,273,3,41.6666666666667,3
Arhgef6,1407,1407,3.5,47.75,4
Msx2,880,880,7,69.6666666666667,3
Msx2,806,806,9,68.3333333333333,3
4930579F01Rik,1149,1149,5.66666666666667,72.6666666666667,3
Ehmt2,310,310,0,65,3
Ehmt2,1669,1669,1,28.3333333333333,3
Ehmt2,920,920,3.33333333333333,80.3333333333333,3
Nedd9,392,392,2.25,54.25,4
Csmd1,350,350,6,36.6666666666667,3
Csmd1,1908,1908,6,47,3
Csmd1,149,149,5.5,17.5,4
Ampd3,1811,1811,9,46.3333333333333,3
Ampd3,1289,1289,2,52,3
Ampd3,1690,1690,4.33333333333333,38,3
Sh3kbp1,1973,1973,0.75,46.25,4
Kirrel,268,268,6.75,46,4
Dixdc1,191,191,8.33333333333333,56.6666666666667,3
Dixdc1,718,718,9,33,3
Col12a1,1691,1691,5,19.75,4
Col12a1,697,697,4.75,69,4
Gpr63,1489,1489,0,30.3333333333333,3
Tagln,1455,1455,0.75,35.75,4
Tagln,204,204,5.25,43.75,4
Tagln,1720,1720,0.5,76.25,4
Tagln,1940,1940,2.66666666666667,41.6666666666667,3
Bdnf,1651,1651,6.75,47.5,4
Bdnf,308,308,2.33333333333333,42.6666666666667,3
Otx2,355,355,0,60,3
Otx2,273,273,0,38.3333333333333,3
Nrsn1,1886,1886,1.25,65.75,4
Nrsn1,347,347,8.5,50.5,4
Thbs1,315,315,5.66666666666667,47.6666666666667,3
Thbs1,1388,1388,0,60.3333333333333,3
Thbs1,1719,1719,9,52.25,4
Thbs1,484,484,4.25,49,4
Ros1,1973,1973,1.25,51.75,4
Ros1,1766,1766,8.66666666666667,34.3333333333333,3
Mfsd12,139,139,8.33333333333333,30,3
Lmntd1,383,383,3.33333333333333,33,3
Duox2,239,239,6.75,61.75,4
Duox2,2007,2007,1,48.3333333333333,3
Dnmt3a,1608,1608,8,73,3
Usp26,1577,1577,0.75,42,4
Usp26,1989,1989,4.75,57.5,4
Usp26,1802,1802,2,50.75,4
Usp26,1430,1430,7.25,59.75,4
Tmem132c,1540,1540,8,58,3
Olfm4,1630,1630,7.33333333333333,49.3333333333333,3
Olfm4,133,133,5.66666666666667,41.6666666666667,3
Olfm4,1168,1168,6.25,33,4
Glipr2,882,882,7.33333333333333,60,3
Glipr2,1541,1541,5.33333333333333,51,3
Sytl3,206,206,0,37.6666666666667,3
Sytl3,100,100,5,42.5,4
Sox8,256,256,7.66666666666667,40.3333333333333,3
Sox8,1402,1402,1.66666666666667,15.3333333333333,3
Pcdh17,161,161,2.75,67.5,4
Pcdh17,846,846,1.5,47.25,4
Pcdh17,1039,1039,0.333333333333333,71.3333333333333,3
Fam186b,161,161,1,34.3333333333333,3
Nrp1,72,72,3.33333333333333,77.6666666666667,3
Foxp1,1850,1850,5,33.6666666666667,3
Foxp1,179,179,8,27.3333333333333,3
Foxp1,408,408,8.5,43.25,4
Dll1,892,892,8,73,3
Cd163,2041,2041,0.5,26.5,4
Ceacam19,1542,1542,4,50.5,4
Mafb,1117,1117,8.33333333333333,72.6666666666667,3
Kdm4c,549,549,8.66666666666667,58,3
Kdm4c,1485,1485,3,33,3
Zic3,146,146,6,54.6666666666667,3
