gene,x,y,z,cost,xs,ys,cc,cc_size
PKP4,544.6084999999999,1833.5575,0.0,16.78265093497706,"[544.201, 544.464, 544.881, 544.888]","[1833.526, 1833.624, 1833.372, 1833.708]",1,1
NBEA,660.52875,846.82225,0.0,13.331028476425752,"[660.295, 660.6060000000001, 660.6039999999998, 660.61]","[846.94, 847.175, 846.627, 846.547]",2,1
PAK4,1402.56,1000.73,0.0,9.793849103843806,"[1402.295, 1402.875, 1402.46, 1402.61]","[1000.94, 1000.708, 1000.725, 1000.547]",3,1
DIRAS2,433.267,36.5995,0.0,13.771446886038435,"[433.226, 432.875, 433.604, 433.36300000000006]","[36.409, 36.708, 36.627, 36.654]",4,1
DIRAS2,1154.517,1592.5995000000003,0.0,11.84177335541414,"[1154.226, 1154.875, 1154.604, 1154.363]","[1592.409, 1592.708, 1592.6270000000004, 1592.654]",5,1
DIRAS2,352.26700000000005,1484.5995000000003,0.0,13.241159627451145,"[352.226, 351.875, 352.6040000000001, 352.36300000000006]","[1484.409, 1484.708, 1484.6270000000004, 1484.654]",6,1
LIX1,1251.5722500000002,326.3502500000001,0.0,17.04679113623914,"[1251.226, 1251.606, 1251.569, 1251.888]","[326.409, 326.175, 326.1090000000001, 326.708]",7,1
RBFOX3,616.521,736.46875,0.0,16.058248209579222,"[616.226, 616.464, 616.569, 616.825]","[736.409, 736.6239999999998, 736.1089999999998, 736.7330000000002]",8,1
MTHFD2,1497.81025,504.48199999999997,0.0,14.553201232584188,"[1497.854, 1498.1570000000004, 1497.405, 1497.825]","[504.346, 504.405, 504.444, 504.733]",9,1
ETL4,1827.6995,1244.3965,0.0,16.497028718709338,"[1827.839, 1827.666, 1827.405, 1827.888]","[1244.002, 1244.432, 1244.444, 1244.708]",10,1
LRRC7,392.54575,754.3485,0.0,19.640928777955526,"[392.839, 392.606, 392.375, 392.36300000000006]","[754.002, 754.175, 754.563, 754.654]",11,1
SNAP91,1095.6687499999998,936.3385000000001,0.0,17.980375928752856,"[1095.839, 1095.606, 1095.405, 1095.825]","[936.002, 936.175, 936.444, 936.733]",12,1
INA,732.734,715.024,0.0,18.785363700921586,"[732.8389999999998, 732.6060000000001, 732.8810000000002, 732.61]","[715.002, 715.175, 715.372, 714.547]",13,1
SNAP91,1920.6687499999998,1914.8384999999998,0.0,18.058252670078407,"[1920.839, 1920.606, 1920.405, 1920.825]","[1915.002, 1915.175, 1914.444, 1914.733]",14,1
ZFP609,859.572,1063.4340000000002,0.0,15.856467541637262,"[859.8389999999998, 859.4639999999998, 859.375, 859.61]","[1063.002, 1063.624, 1063.563, 1063.547]",15,1
FSTL5,220.67975,1551.402,0.0,10.59475758241698,"[220.83900000000003, 220.666, 220.604, 220.61]","[1551.0020000000004, 1551.432, 1551.6270000000004, 1551.547]",16,1
INA,856.734,1055.274,0.0,10.59413799499452,"[856.8389999999998, 856.6060000000001, 856.8810000000002, 856.61]","[1055.002, 1055.175, 1055.372, 1055.547]",17,1
LRRC7,953.54575,1829.8485,0.0,16.010930591077273,"[953.839, 953.606, 953.375, 953.363]","[1830.002, 1830.175, 1829.563, 1829.654]",18,1
KMT2B,1083.6872500000002,415.615,0.0,16.357643053197904,"[1083.839, 1083.6660000000004, 1083.881, 1083.363]","[416.002, 415.432, 415.372, 415.654]",19,1
LRRC7,947.54575,1500.3485,0.0,17.776838863679508,"[947.839, 947.606, 947.375, 947.363]","[1500.0020000000004, 1500.175, 1500.563, 1500.654]",20,1
SNAP91,2025.6687499999998,1319.8385,0.0,17.142066609352707,"[2025.839, 2025.606, 2025.405, 2025.825]","[1320.0020000000004, 1320.175, 1319.444, 1319.733]",21,1
INA,1517.734,353.774,0.0,19.925140665652982,"[1517.839, 1517.606, 1517.881, 1517.61]","[354.0019999999999, 354.175, 353.372, 353.547]",22,1
INA,1112.734,1327.7740000000003,0.0,19.820714339018163,"[1112.839, 1112.606, 1112.881, 1112.61]","[1328.0020000000004, 1328.175, 1327.372, 1327.547]",23,1
INA,465.73400000000004,1147.774,0.0,19.26476523950252,"[465.839, 465.606, 465.881, 465.61]","[1148.002, 1148.175, 1147.372, 1147.547]",24,1
ENO2,1184.63425,1389.1755,0.0,17.52832890343061,"[1184.839, 1184.6660000000004, 1184.516, 1184.516]","[1389.0020000000004, 1389.432, 1388.754, 1389.514]",25,1
INA,350.73400000000004,946.024,0.0,17.414118926759862,"[350.839, 350.606, 350.881, 350.61]","[946.002, 946.175, 946.372, 945.547]",26,1
GRM8,272.56975,693.46625,0.0,16.567602211459675,"[272.839, 272.464, 272.46, 272.516]","[693.002, 693.6239999999998, 693.725, 693.5139999999999]",27,1
MFN2,1320.74425,945.1242500000001,0.0,8.921746296072104,"[1320.839, 1320.6660000000004, 1320.569, 1320.9029999999998]","[945.002, 945.432, 945.109, 944.954]",28,1
ARHGEF9,1284.7569999999998,1765.70775,0.0,12.77944054710978,"[1284.86, 1284.875, 1284.405, 1284.888]","[1765.971, 1765.708, 1765.444, 1765.708]",29,1
ARHGEF9,799.0070000000001,1481.70775,0.0,14.33068855742583,"[798.86, 798.875, 799.405, 798.888]","[1481.971, 1481.708, 1481.444, 1481.708]",30,1
ARHGEF9,1502.7569999999998,351.70775000000003,0.0,12.63294749219241,"[1502.86, 1502.875, 1502.405, 1502.888]","[351.971, 351.708, 351.444, 351.708]",31,1
ARHGEF9,664.0070000000001,868.70775,0.0,14.174907211333034,"[663.86, 663.875, 664.405, 663.888]","[868.971, 868.7080000000002, 868.444, 868.7080000000002]",32,1
ARHGEF9,1072.7569999999998,431.70775000000003,0.0,13.069995016311495,"[1072.86, 1072.875, 1072.405, 1072.888]","[431.971, 431.708, 431.444, 431.708]",33,1
ARHGEF9,402.00699999999995,111.70775,0.0,14.251363518937698,"[401.86, 401.875, 402.405, 401.888]","[111.971, 111.708, 111.444, 111.708]",34,1
ARHGEF9,804.0070000000001,1388.70775,0.0,14.108172554409888,"[803.86, 803.875, 804.405, 803.888]","[1388.971, 1388.708, 1388.444, 1388.708]",35,1
ARHGEF9,183.007,1289.70775,0.0,14.158997813240092,"[182.86, 182.875, 183.405, 182.888]","[1289.971, 1289.708, 1289.444, 1289.708]",36,1
ARHGEF9,783.7570000000001,298.45775000000003,0.0,19.94455255561747,"[783.86, 783.875, 783.405, 783.888]","[297.971, 298.708, 298.444, 298.708]",37,1
