hyb,ch,x,y,z,int,gene
1,1,122.0,14.0,0.0,548,LEFTY1
1,1,111.0,156.0,0.0,329,LEFTY1
1,1,110.0,163.0,0.0,320,LEFTY1
1,1,105.0,188.0,0.0,345,LEFTY1
1,1,59.0,142.0,0.0,332,LEFTY1
1,1,7.0,176.0,0.0,328,LEFTY1
1,1,174.0,157.0,0.0,337,LEFTY1
1,1,11.0,166.0,0.0,319,LEFTY1
1,1,139.0,172.0,0.0,317,LEFTY1
1,1,107.0,176.0,0.0,331,LEFTY1
1,1,123.0,141.0,0.0,340,LEFTY1
1,1,175.0,129.0,0.0,343,LEFTY1
1,1,54.0,18.0,0.0,316,LEFTY1
1,1,184.0,60.0,0.0,321,LEFTY1
1,1,188.0,145.0,0.0,314,LEFTY1
1,1,94.0,196.0,0.0,313,LEFTY1
1,1,158.0,190.0,0.0,324,LEFTY1
1,1,170.0,176.0,0.0,331,LEFTY1
1,1,76.0,18.0,0.0,314,LEFTY1
1,1,147.0,184.0,0.0,320,LEFTY1
1,1,122.0,14.0,1.0,641,LEFTY1
1,1,7.0,176.0,1.0,374,LEFTY1
1,1,102.0,199.0,1.0,329,LEFTY1
1,1,49.0,119.0,1.0,346,LEFTY1
1,1,101.0,72.0,1.0,342,LEFTY1
1,1,178.0,172.0,1.0,323,LEFTY1
1,1,199.0,134.0,1.0,320,LEFTY1
1,1,22.0,163.0,1.0,340,LEFTY1
1,1,130.0,180.0,1.0,347,LEFTY1
1,1,61.0,103.0,1.0,321,LEFTY1
1,1,123.0,141.0,1.0,323,LEFTY1
1,1,175.0,129.0,1.0,336,LEFTY1
1,1,27.0,77.0,1.0,329,LEFTY1
1,1,131.0,120.0,1.0,317,LEFTY1
1,1,104.0,83.0,1.0,342,LEFTY1
1,1,134.0,140.0,1.0,317,LEFTY1
1,1,173.0,79.0,1.0,317,LEFTY1
1,1,183.0,108.0,1.0,321,LEFTY1
1,1,166.0,180.0,1.0,328,LEFTY1
1,1,171.0,182.0,1.0,317,LEFTY1
1,1,122.0,14.0,2.0,582,LEFTY1
1,1,158.0,193.0,2.0,338,LEFTY1
1,1,194.0,153.0,2.0,321,LEFTY1
1,1,150.0,184.0,2.0,318,LEFTY1
1,1,183.0,178.0,2.0,342,LEFTY1
1,1,105.0,185.0,2.0,324,LEFTY1
1,1,103.0,199.0,2.0,328,LEFTY1
1,1,169.0,193.0,2.0,334,LEFTY1
1,1,96.0,99.0,2.0,313,LEFTY1
1,1,111.0,119.0,2.0,334,LEFTY1
