geneID,x,y,z,intensity,seeds
Ehmt2,1127,1127,1.33333333333333,38,3
Ehmt2,505,505,0.666666666666667,51,3
Ehmt2,1993,1993,6.5,48,2
Ehmt2,1587,1587,1,47.3333333333333,3
Ehmt2,56,56,8,61,1
Ehmt2,202,202,6,51,3
Ehmt2,1363,1363,8.5,62,2
Ehmt2,680,680,4.33333333333333,37.6666666666667,3
Ehmt2,929,929,8,25,1
Ehmt2,319,319,2.66666666666667,59,3
Ehmt2,1671,1671,7,25,3
Ehmt2,988,988,6.66666666666667,36.6666666666667,3
Ehmt2,1809,1809,2,87,1
Ehmt2,1754,1754,3,74.3333333333333,3
Ehmt2,1479,1479,7.33333333333333,54,3
Ehmt2,1204,1204,9,54.3333333333333,3
Ehmt2,259,259,8.33333333333333,44.3333333333333,3
Ehmt2,1882,1882,5,63.6666666666667,3
Ehmt2,1936,1936,8,75.5,2
Ehmt2,1299,1299,3,36.5,2
Ehmt2,43,43,7,86.5,2
Ehmt2,629,629,1,58,3
Ehmt2,1085,1085,2,69.3333333333333,3
Ehmt2,434,434,1,29.5,2
Ehmt2,761,761,4,52.75,4
Ehmt2,2045,2045,3,3,1
Ehmt2,156,156,4,50.5,2
Ehmt2,1720,1720,3.66666666666667,93,3
Ehmt2,1631,1631,5.33333333333333,66.3333333333333,3
Ehmt2,287,287,1.5,51,2
Ehmt2,379,379,4.66666666666667,63,3
Ehmt2,1084,1084,6,27,1
Ehmt2,1315,1315,0.333333333333333,22.3333333333333,3
Ehmt2,712,712,6,31.6666666666667,3
Ehmt2,103,103,7,35.75,4
Ehmt2,123,123,7,53,2
Ehmt2,350,350,5.66666666666667,44.6666666666667,3
Ehmt2,1187,1187,1,47.3333333333333,3
Ehmt2,15,15,7.33333333333333,31,3
Ehmt2,1918,1918,6.66666666666667,33.6666666666667,3
Ehmt2,1242,1242,6,48,1
Ehmt2,389,389,5.5,26.5,2
Ehmt2,1461,1461,2.5,27,2
Ehmt2,1891,1891,5.66666666666667,44.3333333333333,3
Ehmt2,547,547,3,39.3333333333333,3
Ehmt2,249,249,0,31,2
Ehmt2,1352,1352,6.5,27.5,2
Ehmt2,1661,1661,6.33333333333333,42.3333333333333,3
Ehmt2,1178,1178,6,46,3
Ehmt2,920,920,3,76,4
Ehmt2,28,28,2.5,88.5,2
Ehmt2,516,516,1,24,1
Ehmt2,1640,1640,0,35.3333333333333,3
Ehmt2,1319,1319,6.33333333333333,24.3333333333333,3
Ehmt2,1826,1826,1,35,2
Ehmt2,1147,1147,6,61,3
Ehmt2,269,269,3.33333333333333,55.6666666666667,3
Ehmt2,404,404,5,76,1
Ehmt2,651,651,0.333333333333333,23,3
Ehmt2,1075,1075,5,8,1
Ehmt2,2028,2028,3,82,1
Ehmt2,310,310,0,65,3
Ehmt2,1687,1687,2.33333333333333,64.6666666666667,3
Ehmt2,303,303,5,69.5,2
Ehmt2,321,321,3.5,83,2
Ehmt2,670,670,5,53,1
Ehmt2,498,498,5,22.5,2
Ehmt2,1669,1669,1,28.3333333333333,3
Ehmt2,1671,1671,5,85,1
Ehmt2,1478,1478,2,16.6666666666667,3
Ehmt2,620,620,4,44.5,2
Ehmt2,2042,2042,5.33333333333333,78,3
Ehmt2,438,438,3.33333333333333,36.3333333333333,3
Ehmt2,42,42,1,71,1
Ehmt2,514,514,1,21,3
Ehmt2,1299,1299,4,30.5,2
Ehmt2,306,306,7.5,56,2
Ehmt2,1809,1809,0.5,50.5,2
Ehmt2,706,706,6,27,1
Ehmt2,404,404,6,25.5,2
Ehmt2,306,306,6,85,1
Ehmt2,1084,1084,7.5,51,2
Ehmt2,1993,1993,5,55,1
Ehmt2,321,321,2,62,1
Ehmt2,1363,1363,7,73,1
Ehmt2,1826,1826,0,71,1
Ehmt2,43,43,6,49,1
Ehmt2,287,287,0,48,1
Ehmt2,28,28,1,45,1
Ehmt2,1242,1242,3.5,62,2
Ehmt2,156,156,3,25,1
Ehmt2,1461,1461,1,67,1
Ehmt2,42,42,3,42.5,2
Ehmt2,1936,1936,7,62,2
Ehmt2,516,516,3,93,1
Ehmt2,498,498,3.5,16.5,2
Ehmt2,434,434,0,84,1
Ehmt2,929,929,6,68,2
Ehmt2,620,620,3,74,1
Ehmt2,1882,1882,4,38,1
Ehmt2,2045,2045,2,29,2
Ehmt2,56,56,6,7.5,2
Ehmt2,123,123,5,88,1
Ehmt2,1242,1242,5,2,1
Ehmt2,249,249,1,84,1
Dnmt3a,256,256,3,1,1
Dnmt3a,1296,1296,3,33,2
Dnmt3a,670,670,4,39,1
Dnmt3a,1983,1983,3.33333333333333,77.6666666666667,3
Dnmt3a,95,95,1,27,3
Dnmt3a,475,475,0,51,1
Dnmt3a,1391,1391,0,66.6666666666667,3
Dnmt3a,1156,1156,8.66666666666667,27.6666666666667,3
Dnmt3a,910,910,4.5,29.25,4
Dnmt3a,1739,1739,0.666666666666667,72.6666666666667,3
Dnmt3a,1052.5,1052.5,8.16666666666667,35,6
Dnmt3a,28,28,8.66666666666667,50.6666666666667,3
Dnmt3a,1548,1548,3,55,1
Dnmt3a,1608,1608,9,80,1
Dnmt3a,888,888,1,28,2
Dnmt3a,756,756,9,13,1
Dnmt3a,1933,1933,1.33333333333333,48,3
Dnmt3a,122,122,3,63.6666666666667,3
Dnmt3a,1481,1481,5.33333333333333,69,3
Dnmt3a,381,381,0.666666666666667,60.6666666666667,3
Dnmt3a,1352,1352,8.33333333333333,26,3
Dnmt3a,1503,1503,1.25,65.75,4
Dnmt3a,1772,1772,7.66666666666667,59.3333333333333,3
Dnmt3a,998,998,2.33333333333333,64.3333333333333,3
Dnmt3a,447,447,1,27.6666666666667,3
Dnmt3a,940,940,8.33333333333333,85.6666666666667,3
Dnmt3a,1215,1215,5,96,1
Dnmt3a,1116,1116,0.666666666666667,44.6666666666667,3
Dnmt3a,1891,1891,3,5,1
Dnmt3a,1671,1671,9,63,1
Dnmt3a,739,739,5.66666666666667,52,3
Dnmt3a,50,50,4.66666666666667,21.6666666666667,3
Dnmt3a,65,65,6.6,43.2,5
Dnmt3a,1262,1262,2,25.5,2
Dnmt3a,706,706,6,41.75,4
Dnmt3a,1440,1440,4.5,36,2
Dnmt3a,795,795,4,88,1
Dnmt3a,2028,2028,3.33333333333333,73,3
Dnmt3a,862,862,8,71,3
Dnmt3a,1288,1288,7.66666666666667,86.6666666666667,3
Dnmt3a,927,927,3.5,65,2
Dnmt3a,71,71,1,57.6666666666667,3
Dnmt3a,1371,1371,7.66666666666667,53.6666666666667,3
Dnmt3a,422,422,7,23,1
Dnmt3a,1407,1407,1,94,1
Dnmt3a,1075,1075,5,75,1
Dnmt3a,1737,1737,6.33333333333333,84.3333333333333,3
Dnmt3a,95,95,8.66666666666667,40.6666666666667,3
Dnmt3a,1203,1203,8,23.6666666666667,3
Dnmt3a,1149,1149,0.666666666666667,68.3333333333333,3
Dnmt3a,1319,1319,3.66666666666667,53,3
Dnmt3a,1973,1973,1,44.3333333333333,3
Dnmt3a,1538,1538,0,71.3333333333333,3
Dnmt3a,953,953,1.33333333333333,38.6666666666667,3
Dnmt3a,697,697,0.75,72.5,4
Dnmt3a,1510,1510,6.5,28.5,2
Dnmt3a,250,250,8.33333333333333,54,3
Dnmt3a,269,269,5,48.5,2
Dnmt3a,102,102,7,49,3
