geneID,x,y,z,intensity,seeds
Jmjd1c,385,385,0.333333333333333,48.3333333333333,3
Jmjd1c,1738.4,1738.4,2.4,45.4,5
Jmjd1c,199,199,1,61,3
Jmjd1c,577,577,3.33333333333333,88,3
Jmjd1c,1503,1503,1.33333333333333,70.6666666666667,3
Jmjd1c,2039,2039,9,52.6666666666667,3
Jmjd1c,605,605,8.33333333333333,38,3
Jmjd1c,27,27,4,31.3333333333333,3
Jmjd1c,809,809,0.666666666666667,60.3333333333333,3
Jmjd1c,1798,1798,5.4,48.8,5
Jmjd1c,477,477,6,50.3333333333333,3
Jmjd1c,674,674,7.5,38.5,4
Jmjd1c,1318,1318,6.66666666666667,39.3333333333333,3
Jmjd1c,1243,1243,5,7.33333333333333,3
Jmjd1c,1875,1875,4.33333333333333,45.3333333333333,3
Jmjd1c,2006,2006,0.333333333333333,46.3333333333333,3
Jmjd1c,46,46,1,60,3
Jmjd1c,1435,1435,7.66666666666667,48,3
Jmjd1c,1665,1665,4,38,3
Jmjd1c,1519,1519,5,59.3333333333333,3
Jmjd1c,1969,1969,4.33333333333333,29,3
Jmjd1c,321,321,3,57,3
Jmjd1c,163,163,9,34.6666666666667,3
Jmjd1c,1208,1208,2.66666666666667,33.3333333333333,3
Jmjd1c,963,963,7.66666666666667,50,3
Jmjd1c,1573,1573,1.33333333333333,24,3
Jmjd1c,536,536,1.66666666666667,73.6666666666667,3
Jmjd1c,1632,1632,6,46.6666666666667,3
Jmjd1c,0,0,1.66666666666667,45,3
Jmjd1c,1837,1837,1,52,3
Jmjd1c,227,227,4.33333333333333,72.3333333333333,3
Jmjd1c,1402,1402,0.333333333333333,55.6666666666667,3
Jmjd1c,1745,1745,8.66666666666667,59.3333333333333,3
Jmjd1c,463,463,2.5,66.75,4
Jmjd1c,1339,1339,5.66666666666667,38,3
Jmjd1c,558,558,8.75,39,4
Jmjd1c,1480,1480,6.66666666666667,82,3
Jmjd1c,1041,1041,7.25,45.75,4
Jmjd1c,1754,1754,2,51,3
Jmjd1c,596,596,7,71.6666666666667,3
Jmjd1c,657,657,2,59.3333333333333,3
Jmjd1c,1228,1228,0,75.6666666666667,3
Jmjd1c,976,976,4,42,3
Jmjd1c,19,19,5.66666666666667,43.3333333333333,3
Jmjd1c,1204,1204,1.66666666666667,59,3
Jmjd1c,1234,1234,5.33333333333333,47.3333333333333,3
Jmjd1c,1428,1428,2,44.3333333333333,3
Jmjd1c,1502.25,1502.25,4,29.5,4
Jmjd1c,670,670,8,66,3
Jmjd1c,1660.6,1660.6,6.2,66.6,5
Jmjd1c,600,600,5.66666666666667,32.3333333333333,3
Jmjd1c,1570,1570,7.5,52.5,4
Jmjd1c,1933,1933,6.66666666666667,77,3
